"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.668442800E-2,4.381856322E-1,3.275176048E0,1.070160007E1,1.120013522E1
3.907088600E-2,5.075774789E-1,3.289532900E0,1.078295612E1,1.128498136E1
4.145729200E-2,5.697908998E-1,3.299104214E0,1.080688477E1,1.131359839E1
4.384369800E-2,6.248258352E-1,3.320639610E0,1.083081245E1,1.134564027E1
4.623010500E-2,6.583253145E-1,3.342175007E0,1.077338505E1,1.129908631E1
4.861656300E-2,6.966105103E-1,3.385245800E0,1.074706364E1,1.128913337E1
5.100296900E-2,7.396813035E-1,3.397209883E0,1.060588741E1,1.116122803E1
5.338937600E-2,7.683951855E-1,3.385245800E0,1.055563831E1,1.111178746E1
5.577578200E-2,8.138588071E-1,3.375674486E0,1.038066292E1,1.094603613E1
5.816218800E-2,8.452646136E-1,3.323032379E0,1.023709393E1,1.079606912E1
6.054864600E-2,9.002995491E-1,3.272783279E0,1.000977516E1,1.056963805E1
6.293505300E-2,9.625129104E-1,3.179463148E0,9.875777245E0,1.041951982E1
6.532145900E-2,1.039083242E0,3.098107100E0,9.633803368E0,1.017291153E1
6.770791700E-2,1.115653515E0,3.011666298E0,9.471091270E0,1.000081929E1
7.009432300E-2,1.144367456E0,2.920739174E0,9.243474007E0,9.761255345E0
7.248073000E-2,1.165902853E0,2.825026274E0,9.087940216E0,9.588052997E0
7.486713600E-2,1.173081279E0,2.755634308E0,8.901300430E0,9.391634015E0
7.725354200E-2,1.177866936E0,2.650350094E0,8.796015739E0,9.261836698E0
7.964000100E-2,1.130010486E0,2.590529680E0,8.582756042E0,9.036120241E0
8.202640700E-2,1.067797065E0,2.559422970E0,8.496614456E0,8.937745450E0
8.441281300E-2,1.007976532E0,2.561815739E0,8.324331284E0,8.767748165E0
8.679921900E-2,9.649057388E-1,2.564208508E0,8.254939079E0,8.697713927E0
8.918567800E-2,9.242277741E-1,2.568994284E0,8.108677864E0,8.555967819E0
9.157208400E-2,9.266205430E-1,2.566601276E0,8.041678429E0,8.492035074E0
9.395849000E-2,9.529415965E-1,2.561815739E0,7.867002487E0,8.328308694E0
9.634489600E-2,1.005583763E0,2.535494804E0,7.792825222E0,8.256394949E0
9.873135500E-2,1.034297585E0,2.571387053E0,7.733004570E0,8.214691872E0
1.011177610E-1,1.041476011E0,2.580958366E0,7.749754429E0,8.234361668E0
1.035041670E-1,1.055832982E0,2.607279301E0,7.768897057E0,8.262472397E0
1.058905730E-1,1.074975610E0,2.647957325E0,7.816753387E0,8.322793045E0
1.082770320E-1,1.098903775E0,2.700599432E0,7.869395256E0,8.392151601E0
1.106634380E-1,1.120439172E0,2.767598391E0,7.955537319E0,8.497385411E0
1.130498440E-1,1.120439172E0,2.844168901E0,8.032107353E0,8.594150872E0
1.154362510E-1,1.094118118E0,2.937488794E0,8.125427246E0,8.709104593E0
1.178227090E-1,1.027119160E0,3.033201694E0,8.199904442E0,8.803051695E0
1.202091150E-1,9.481559992E-1,3.124428272E0,8.293224335E0,8.912834661E0
1.225955210E-1,8.835497499E-1,3.208176851E0,8.393722534E0,9.029265576E0
1.249819280E-1,8.401798606E-1,3.275176048E0,8.532505989E0,9.178035672E0
1.273683340E-1,8.186444640E-1,3.325425386E0,8.671290398E0,9.323084786E0
1.297547920E-1,8.138588071E-1,3.363710403E0,8.836693764E0,9.490209192E0
1.321411980E-1,8.234301209E-1,3.385245800E0,8.987442017E0,9.639089184E0
1.345276050E-1,8.476574421E-1,3.399602890E0,9.140582085E0,9.789078802E0
1.369140630E-1,8.835497499E-1,3.397209883E0,9.274879456E0,9.916908997E0
1.393004690E-1,9.314061999E-1,3.380460262E0,9.404091835E0,1.003653189E1
1.416868760E-1,9.912267923E-1,3.351746321E0,9.516554832E0,1.013812359E1
1.440732820E-1,1.063011408E0,3.318246841E0,9.626625061E0,1.023780569E1
1.464596880E-1,1.141974568E0,3.279961586E0,9.727123260E0,1.032856141E1
1.488461460E-1,1.218544960E0,3.244069338E0,9.825528145E0,1.041872550E1
1.512325530E-1,1.290329576E0,3.210569859E0,9.918848038E0,1.050505857E1
1.536189590E-1,1.354935765E0,3.179463148E0,1.000977516E1,1.058963813E1
1.560053650E-1,1.410269856E0,3.153141975E0,1.009830952E1,1.067272320E1
1.583918230E-1,1.458126307E0,3.124428272E0,1.017727280E1,1.074546723E1
1.607782300E-1,1.494018674E0,3.098107100E0,1.024666500E1,1.080853843E1
1.631646360E-1,1.517946839E0,3.066701412E0,1.029212856E1,1.084604677E1
1.655510420E-1,1.529910922E0,3.033201694E0,1.032084274E1,1.086557568E1
1.679374480E-1,1.529910922E0,2.997309446E0,1.032323551E1,1.085788574E1
1.703239070E-1,1.517946839E0,2.961417198E0,1.031366348E1,1.083724176E1
1.727103130E-1,1.503589988E0,2.923131943E0,1.028734303E1,1.079976434E1
1.750967190E-1,1.479661703E0,2.884846687E0,1.024905777E1,1.074964764E1
1.774831260E-1,1.448554993E0,2.848954439E0,1.019641590E1,1.068558609E1
1.798695840E-1,1.422233939E0,2.810669184E0,1.013180923E1,1.061019175E1
1.822559900E-1,1.395613790E0,2.765205622E0,1.006241703E1,1.052835868E1
1.846423960E-1,1.371685624E0,2.719742060E0,9.985847473E0,1.044009905E1
1.870288030E-1,1.342971683E0,2.676671267E0,9.909276962E0,1.035190378E1
1.894152610E-1,1.316650629E0,2.640778780E0,9.825528145E0,1.025905867E1
1.918016670E-1,1.290329576E0,2.604886532E0,9.746265411E0,1.017054933E1
1.941880730E-1,1.264008522E0,2.566601276E0,9.657731056E0,1.007258303E1
1.965744800E-1,1.242473125E0,2.520838737E0,9.578767776E0,9.982542738E0
1.989609380E-1,1.228116274E0,2.480160713E0,9.490233421E0,9.885544858E0
2.013473440E-1,1.223330617E0,2.437089920E0,9.416056633E0,9.802962185E0
2.037337510E-1,1.225723386E0,2.401197433E0,9.327521324E0,9.709315166E0
2.061201570E-1,1.228116274E0,2.370090723E0,9.257830620E0,9.634989746E0
2.085066150E-1,1.230509043E0,2.348555326E0,9.171689034E0,9.547237525E0
2.108930210E-1,1.228116274E0,2.343769789E0,9.099904060E0,9.476802220E0
2.132794280E-1,1.194616675E0,2.398804665E0,8.982656479E0,9.373872745E0
2.156658340E-1,1.118046403E0,2.525923491E0,8.841479301E0,9.262940865E0
2.180522400E-1,1.027119160E0,2.664707184E0,8.712266922E0,9.168382249E0
2.204386980E-1,9.409775138E-1,2.793919563E0,8.654540062E0,9.142892808E0
2.228251050E-1,8.572286963E-1,2.918346405E0,8.613862038E0,9.135108427E0
2.252115110E-1,7.731808424E-1,3.030808926E0,8.609076500E0,9.159683921E0
2.275979170E-1,6.966105103E-1,3.131606579E0,8.597112656E0,9.176195943E0
2.299843760E-1,6.343970895E-1,3.220141172E0,8.599505424E0,9.204524017E0
2.323707820E-1,5.841478109E-1,3.299104214E0,8.587541580E0,9.217981757E0
2.347571880E-1,5.482555032E-1,3.361317635E0,8.589934349E0,9.240455208E0
2.371435940E-1,5.243272781E-1,3.418745279E0,8.577970505E0,9.249017048E0
2.395300530E-1,5.147559643E-1,3.466601849E0,8.585148811E0,9.272921988E0
2.419164590E-1,5.123631358E-1,3.504886866E0,8.580363274E0,9.282746459E0
2.443028650E-1,5.219344497E-1,3.533600807E0,8.592327118E0,9.305204755E0
2.466892710E-1,5.315057039E-1,3.547957659E0,8.597112656E0,9.315623859E0
2.490756780E-1,5.482555032E-1,3.557528973E0,8.609076500E0,9.331280441E0
2.514621360E-1,5.602195859E-1,3.555136204E0,8.609076500E0,9.331079123E0
2.538485420E-1,5.697908998E-1,3.545564890E0,8.597112656E0,9.316975801E0
2.562349480E-1,5.769693851E-1,3.519243956E0,8.561220169E0,9.274290403E0
2.586213550E-1,5.889334679E-1,3.480958700E0,8.522934914E0,9.225201117E0
2.610078130E-1,5.961119533E-1,3.425923824E0,8.491828918E0,9.176244433E0
2.633942190E-1,6.056832075E-1,3.366103172E0,8.467900276E0,9.132515415E0
2.657806260E-1,6.128616929E-1,3.296711445E0,8.455936432E0,9.096524982E0
2.681670320E-1,6.152545214E-1,3.220141172E0,8.465507507E0,9.078142137E0
2.705534900E-1,6.200401783E-1,3.143570662E0,8.508578300E0,9.091885999E0
2.729398960E-1,6.200401783E-1,3.064308405E0,8.580363274E0,9.132199611E0
2.753263030E-1,6.152545214E-1,2.994916677E0,8.700303078E0,9.221894473E0
2.777127090E-1,6.008976102E-1,2.939881802E0,8.848658562E0,9.343593596E0
2.800991150E-1,5.817549825E-1,2.892025232E0,9.032905579E0,9.502401380E0
2.824855730E-1,5.650052428E-1,2.856132984E0,9.233902931E0,9.682029224E0
2.848719800E-1,5.530411601E-1,2.829811811E0,9.451948166E0,9.881953933E0
2.872583860E-1,5.458626747E-1,2.817847729E0,9.664909363E0,1.008209824E1
2.896447920E-1,5.482555032E-1,2.810669184E0,9.882955551E0,1.028947306E1
2.920312510E-1,5.626124144E-1,2.815454960E0,1.008873844E1,1.048932613E1
2.944176570E-1,5.841478109E-1,2.832204819E0,1.029691410E1,1.069528180E1
2.968040630E-1,6.152545214E-1,2.853740215E0,1.048863888E1,1.088732827E1
2.991904690E-1,6.487540603E-1,2.875275612E0,1.066570759E1,1.106550541E1
