"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.481781500E-2,4.812564552E-1,4.086641788E0,8.214261055E0,9.187291960E0
3.720427400E-2,4.573282301E-1,4.086641788E0,8.132605553E0,9.113125879E0
3.959073200E-2,4.310071766E-1,4.079463482E0,8.051250458E0,9.036062385E0
4.197719000E-2,4.118646085E-1,4.081856251E0,7.984251022E0,8.976605555E0
4.436364900E-2,3.975076675E-1,4.089034557E0,7.934001446E0,8.934573012E0
4.675010700E-2,3.903291821E-1,4.098606110E0,7.881359577E0,8.891949038E0
4.913656500E-2,3.831507266E-1,4.108177185E0,7.843074322E0,8.862152057E0
5.152302400E-2,3.711866140E-1,4.117748737E0,7.826324463E0,8.851270460E0
5.390948200E-2,3.544368446E-1,4.127319813E0,7.835896015E0,8.863501603E0
5.629594000E-2,3.352942765E-1,4.136891365E0,7.862216949E0,8.890486363E0
5.868245100E-2,3.161516786E-1,4.151247978E0,7.912466049E0,8.940913300E0
6.106885700E-2,2.898306549E-1,4.165605068E0,7.972286701E0,8.999645695E0
6.345536700E-2,2.656033039E-1,4.182354927E0,8.046463966E0,9.072387790E0
6.584182600E-2,2.344966233E-1,4.194318771E0,8.132605553E0,9.153500516E0
6.822828400E-2,2.057827413E-1,4.201497555E0,8.228617668E0,9.241486729E0
7.061474200E-2,1.770688742E-1,4.211368084E0,8.319544792E0,9.326403384E0
7.300120100E-2,1.459621787E-1,4.220939159E0,8.412865639E0,9.413497788E0
7.538765900E-2,1.148554832E-1,4.225724697E0,8.499007225E0,9.492263419E0
7.777411700E-2,8.614161611E-2,4.228117466E0,8.580363274E0,9.565930775E0
8.016057600E-2,5.264209956E-2,4.225724697E0,8.661719322E0,9.637681361E0
8.254703400E-2,2.632104978E-2,4.220939159E0,8.731410027E0,9.698172056E0
8.493349200E-2,4.785645287E-3,4.208974838E0,8.779266357E0,9.736067474E0
8.731995100E-2,-7.178467698E-3,4.187140465E0,8.822337151E0,9.765542975E0
8.970646100E-2,-1.196411345E-2,4.163212299E0,8.865407944E0,9.794280872E0
9.209291900E-2,-1.196411345E-2,4.136891365E0,8.896514893E0,9.811319511E0
9.447937800E-2,-7.178467698E-3,4.112963200E0,8.913264275E0,9.816455462E0
9.686583600E-2,0.000000000E0,4.089034557E0,8.915657043E0,9.808626006E0
9.925229400E-2,7.178467698E-3,4.060320854E0,8.918049812E0,9.798870824E0
1.016387530E-1,1.435693540E-2,4.031607151E0,8.930013657E0,9.797918465E0
1.040252110E-1,1.674975827E-2,4.012464523E0,8.939585686E0,9.798793004E0
1.064116690E-1,2.153540403E-2,3.993321896E0,8.941978455E0,9.793164055E0
1.087981280E-1,2.632104978E-2,3.974179268E0,8.946763992E0,9.789758914E0
1.111845860E-1,2.392822690E-2,3.955036640E0,8.951549530E0,9.786374527E0
1.135710440E-1,2.392822690E-2,3.943072557E0,8.958727837E0,9.788115151E0
1.159575030E-1,2.632104978E-2,3.928715706E0,8.961120605E0,9.784537925E0
1.183439610E-1,2.392822690E-2,3.911965847E0,8.958727837E0,9.775625494E0
1.207304710E-1,1.914258115E-2,3.895216227E0,8.963513374E0,9.773313046E0
1.231169300E-1,1.196411345E-2,3.876073599E0,8.963513374E0,9.765687979E0
1.255033880E-1,-2.392822644E-3,3.856930971E0,8.970691681E0,9.764693107E0
1.278898460E-1,-1.674975827E-2,3.830610037E0,8.987442017E0,9.769747582E0
1.302763050E-1,-3.349951655E-2,3.811467409E0,9.020941734E0,9.793150453E0
1.326627630E-1,-5.742774159E-2,3.794717550E0,9.059226990E0,9.822055431E0
1.350492210E-1,-8.853443712E-2,3.782753468E0,9.102297783E0,9.857428015E0
1.374356800E-1,-1.148554832E-1,3.768396616E0,9.166903496E0,9.911918308E0
1.398221380E-1,-1.435693651E-1,3.754039526E0,9.217152596E0,9.953357569E0
1.422085960E-1,-1.698904037E-1,3.742075443E0,9.282057762E0,1.000942494E1
1.445950550E-1,-1.962114573E-1,3.734897137E0,9.341878891E0,1.006273605E1
1.469815130E-1,-2.249253243E-1,3.720540047E0,9.406484604E0,1.011805131E1
1.493679710E-1,-2.679961324E-1,3.699004650E0,9.471091270E0,1.017133360E1
1.517544820E-1,-3.233301640E-1,3.670290947E0,9.538089752E0,1.022500534E1
1.541409400E-1,-3.879363835E-1,3.638885021E0,9.605089188E0,1.027860482E1
1.565273990E-1,-4.549354017E-1,3.605385542E0,9.674481392E0,1.033447441E1
1.589138570E-1,-5.291129351E-1,3.569493294E0,9.763015747E0,1.040854069E1
1.613003150E-1,-6.008976102E-1,3.535993576E0,9.859027863E0,1.049117529E1
1.636867740E-1,-6.702894568E-1,3.509672642E0,9.959526062E0,1.058107978E1
1.660732320E-1,-7.348956466E-1,3.488137245E0,1.006241703E1,1.067517726E1
1.684596900E-1,-7.875377536E-1,3.468994617E0,1.015813065E1,1.076298089E1
1.708461490E-1,-8.353942037E-1,3.459423304E0,1.024666500E1,1.084710269E1
1.732326070E-1,-8.715856671E-1,3.457030535E0,1.033280659E1,1.093058158E1
1.756190650E-1,-8.955138922E-1,3.457030535E0,1.038814068E1,1.098482917E1
1.780055760E-1,-9.170492887E-1,3.454637766E0,1.044078255E1,1.103564414E1
1.803920340E-1,-9.314061999E-1,3.452244759E0,1.049103165E1,1.108364815E1
1.827784920E-1,-9.433703423E-1,3.445066452E0,1.052213860E1,1.111187793E1
1.851649510E-1,-9.553344250E-1,3.442673683E0,1.054367352E1,1.113255214E1
1.875514090E-1,-9.649057388E-1,3.440280676E0,1.054606628E1,1.113490405E1
1.899378670E-1,-9.744769931E-1,3.435495138E0,1.052931690E1,1.111839677E1
1.923243260E-1,-9.720842242E-1,3.425923824E0,1.050299549E1,1.109030279E1
1.947107840E-1,-9.696913958E-1,3.406781197E0,1.046710396E1,1.105019117E1
1.970972420E-1,-9.672985673E-1,3.392424345E0,1.041446114E1,1.099569053E1
1.994837010E-1,-9.601200819E-1,3.375674486E0,1.035912704E1,1.093748243E1
2.018701590E-1,-9.433703423E-1,3.358924866E0,1.028973579E1,1.086512708E1
2.042566170E-1,-9.194421172E-1,3.344567776E0,1.020837975E1,1.078158265E1
2.066430760E-1,-8.907282352E-1,3.323032379E0,1.014138031E1,1.070903990E1
2.090295340E-1,-8.524430394E-1,3.301496983E0,1.006720352E1,1.062897588E1
2.114160440E-1,-8.066803217E-1,3.289532900E0,9.988240242E0,1.054688120E1
2.138025030E-1,-7.540382147E-1,3.284747362E0,9.921240807E0,1.047803216E1
2.161889610E-1,-6.966105103E-1,3.279961586E0,9.851848602E0,1.040684078E1
2.185754190E-1,-6.367899179E-1,3.284747362E0,9.770194054E0,1.032723383E1
2.209618780E-1,-5.745765567E-1,3.287140131E0,9.696016312E0,1.025417772E1
2.233483360E-1,-5.195416212E-1,3.289532900E0,9.617053032E0,1.017736013E1
2.257347940E-1,-4.668995142E-1,3.294318676E0,9.533304214E0,1.009724814E1
2.281212530E-1,-4.214358926E-1,3.291925669E0,9.456734657E0,1.002218605E1
2.305077110E-1,-3.759722710E-1,3.296711445E0,9.380164146E0,9.949730696E0
2.328941690E-1,-3.352942765E-1,3.303889751E0,9.303593636E0,9.878510226E0
2.352806280E-1,-2.994019389E-1,3.315854073E0,9.233902931E0,9.815777763E0
2.376670860E-1,-2.703889608E-1,3.332603693E0,9.174081802E0,9.764380906E0
2.400535440E-1,-2.512463629E-1,3.354139090E0,9.119047165E0,9.719588210E0
2.424400030E-1,-2.416750938E-1,3.380460262E0,9.078369141E0,9.690340793E0
2.448265130E-1,-2.321037948E-1,3.409173965E0,9.047262192E0,9.671054362E0
2.472129710E-1,-2.201396823E-1,3.445066452E0,9.023334503E0,9.661133986E0
2.495994300E-1,-2.033899277E-1,3.480958700E0,9.020941734E0,9.671392387E0
2.519858880E-1,-1.818545163E-1,3.516851187E0,9.032905579E0,9.695086205E0
2.543723460E-1,-1.555334777E-1,3.545564890E0,9.054440498E0,9.725127957E0
2.567588050E-1,-1.316052526E-1,3.567100286E0,9.095118523E0,9.770501796E0
2.591452630E-1,-1.052841991E-1,3.586242914E0,9.147761345E0,9.826177315E0
2.615317210E-1,-7.657032460E-2,3.595814228E0,9.205188751E0,9.882876247E0
2.639181800E-1,-4.307080805E-2,3.595814228E0,9.294022560E0,9.965469904E0
2.663046380E-1,-2.392822644E-3,3.588635683E0,9.382556915E0,1.004543110E1
2.686911490E-1,4.067798331E-2,3.583850145E0,9.456734657E0,1.011313339E1
2.710775550E-1,7.417750359E-2,3.574278831E0,9.521340370E0,1.017039301E1
2.734640650E-1,1.028913707E-1,3.562314749E0,9.569196701E0,1.021127801E1
2.758505240E-1,1.292124242E-1,3.557528973E0,9.619445801E0,1.025701934E1
2.782369820E-1,1.459621787E-1,3.555136204E0,9.662516594E0,1.029682113E1
2.806234400E-1,1.579262912E-1,3.555136204E0,9.696016312E0,1.032843969E1
2.830098990E-1,1.722832322E-1,3.562314749E0,9.729516029E0,1.036258896E1
2.853963570E-1,1.794617027E-1,3.569493294E0,9.758230209E0,1.039213865E1
2.877828150E-1,1.842473447E-1,3.579064369E0,9.765408516E0,1.040225227E1
2.901692740E-1,1.794617027E-1,3.598206997E0,9.779765129E0,1.042224093E1
2.925557320E-1,1.722832322E-1,3.622135162E0,9.786943436E0,1.043713593E1
2.949421900E-1,1.651047617E-1,3.643670797E0,9.784550667E0,1.044227122E1
2.973286490E-1,1.651047617E-1,3.658326626E0,9.796515465E0,1.045860070E1
2.997151070E-1,1.698904037E-1,3.670290947E0,9.808479309E0,1.047407107E1
3.021015650E-1,1.770688742E-1,3.677469254E0,9.823135376E0,1.049043003E1
3.044880240E-1,1.986042857E-1,3.679862022E0,9.863813400E0,1.052975038E1
3.068745340E-1,2.249253243E-1,3.672683716E0,9.914062500E0,1.057486796E1
