"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.594891100E-2,5.195416212E-1,3.421138287E0,9.221938133E0,9.849784445E0
3.833531800E-2,5.267201066E-1,3.435495138E0,9.241081238E0,9.873076692E0
4.072172400E-2,5.315057039E-1,3.445066452E0,9.245866776E0,9.881145359E0
4.310807800E-2,5.362913609E-1,3.447459221E0,9.226723671E0,9.864330347E0
4.549448400E-2,5.482555032E-1,3.449851990E0,9.200403214E0,9.841213448E0
4.788089100E-2,5.554339290E-1,3.442673683E0,9.154939651E0,9.796602930E0
5.026724500E-2,5.578267574E-1,3.437887907E0,9.121439934E0,9.763754934E0
5.265365100E-2,5.554339290E-1,3.433102369E0,9.085547447E0,9.728405375E0
5.504005700E-2,5.482555032E-1,3.423531055E0,9.047262192E0,9.688864854E0
5.742641100E-2,5.458626747E-1,3.409173965E0,9.001798630E0,9.641203854E0
5.981281800E-2,5.434698462E-1,3.392424345E0,8.958727837E0,9.594931311E0
6.219922400E-2,5.291129351E-1,3.382853031E0,8.946763992E0,9.579574159E0
6.458563000E-2,4.956133962E-1,3.390031576E0,8.961120605E0,9.593728641E0
6.697198400E-2,4.429712892E-1,3.421138287E0,9.008976936E0,9.646868724E0
6.935839100E-2,3.975076675E-1,3.454637766E0,9.061619759E0,9.705951117E0
7.174479700E-2,3.664009571E-1,3.468994617E0,9.121439934E0,9.765697097E0
7.413115100E-2,3.568296731E-1,3.471387386E0,9.174081802E0,9.815377462E0
7.651755700E-2,3.616153300E-1,3.468994617E0,9.200403214E0,9.839314437E0
7.890396300E-2,3.640081584E-1,3.466601849E0,9.217152596E0,9.854224083E0
8.129031800E-2,3.544368446E-1,3.473780155E0,9.214759827E0,9.854165247E0
8.367672400E-2,3.305086195E-1,3.490530014E0,9.212367058E0,9.857014890E0
8.606313000E-2,2.874378264E-1,3.502494097E0,9.207581520E0,9.855437223E0
8.844953600E-2,2.344966233E-1,3.480958700E0,9.214759827E0,9.853114269E0
9.083589100E-2,1.962114573E-1,3.447459221E0,9.217152596E0,9.842732140E0
9.322229700E-2,1.938186288E-1,3.425923824E0,9.221938133E0,9.839647486E0
9.560870300E-2,2.249253243E-1,3.416352510E0,9.212367058E0,9.828009091E0
9.799505700E-2,2.775674164E-1,3.428316593E0,9.198010445E0,9.820071001E0
1.003814630E-1,3.376871049E-1,3.447459221E0,9.162117958E0,9.795070859E0
1.027678700E-1,4.070789516E-1,3.464209080E0,9.126225471E0,9.770079282E0
1.051542240E-1,4.980062246E-1,3.483351469E0,9.087940216E0,9.745378650E0
1.075406300E-1,6.056832075E-1,3.512065411E0,9.061619759E0,9.737269034E0
1.099270360E-1,7.205387354E-1,3.550350666E0,9.052047729E0,9.750063283E0
1.123133910E-1,8.258228898E-1,3.610171080E0,9.066405296E0,9.793621581E0
1.146997970E-1,9.026923180E-1,3.691826344E0,9.087940216E0,9.850639195E0
1.170862030E-1,9.457631707E-1,3.780360699E0,9.128618240E0,9.925586429E0
1.194726090E-1,9.816554785E-1,3.856930971E0,9.188439369E0,1.001334020E1
1.218589630E-1,1.005583763E0,3.916751623E0,9.274879456E0,1.011807941E1
1.242453700E-1,1.012762189E0,3.967000723E0,9.384949684E0,1.023914364E1
1.266317760E-1,9.984052777E-1,4.007678986E0,9.502198219E0,1.036098813E1
1.290181300E-1,9.577272534E-1,4.041178226E0,9.619445801E0,1.047769538E1
1.314045360E-1,9.050851464E-1,4.077070713E0,9.724730492E0,1.058357538E1
1.337909430E-1,8.428717852E-1,4.103391647E0,9.823135376E0,1.067905635E1
1.361773490E-1,7.779664397E-1,4.127319813E0,9.890133858E0,1.074498713E1
1.385637030E-1,7.133602500E-1,4.148855209E0,9.926026344E0,1.078183108E1
1.409501090E-1,6.535396576E-1,4.163212299E0,9.911669731E0,1.077035968E1
1.433364630E-1,6.056832075E-1,4.167997837E0,9.847063065E0,1.070998175E1
1.457228700E-1,5.697908998E-1,4.151247978E0,9.717552185E0,1.058245444E1
1.481092760E-1,5.410770178E-1,4.115355968E0,9.557232857E0,1.041967461E1
1.504956820E-1,5.099703074E-1,4.057928085E0,9.387342453E0,1.023958243E1
1.528820360E-1,4.740779996E-1,3.983750582E0,9.233902931E0,1.006776946E1
1.552684430E-1,4.357928336E-1,3.892823458E0,9.104690552E0,9.911578074E0
1.576548490E-1,3.999004960E-1,3.787539244E0,8.999405861E0,9.772137933E0
1.600412030E-1,3.664009571E-1,3.670290947E0,8.915657043E0,9.648534905E0
1.624276090E-1,3.424727321E-1,3.550350666E0,8.858229637E0,9.549372216E0
1.648140160E-1,3.281157911E-1,3.435495138E0,8.822337151E0,9.473326745E0
1.672003700E-1,3.209373355E-1,3.339782238E0,8.800801277E0,9.418664942E0
1.695867760E-1,3.233301640E-1,3.263211966E0,8.796015739E0,9.387384493E0
1.719731820E-1,3.305086195E-1,3.205784082E0,8.805587769E0,9.376815210E0
1.743595880E-1,3.376871049E-1,3.177070379E0,8.824729919E0,9.385289922E0
1.767459430E-1,3.424727321E-1,3.167499065E0,8.858229637E0,9.413743687E0
1.791323490E-1,3.520440459E-1,3.172284603E0,8.913264275E0,9.467502556E0
1.815187550E-1,3.664009571E-1,3.198605776E0,8.970691681E0,9.530930584E0
1.839051090E-1,3.975076675E-1,3.232105255E0,9.064012527E0,9.631242901E0
1.862915160E-1,4.429712892E-1,3.272783279E0,9.166903496E0,9.743687888E0
1.886779220E-1,4.956133962E-1,3.308675528E0,9.291629791E0,9.875593682E0
1.910642760E-1,5.434698462E-1,3.354139090E0,9.401699066E0,9.996877204E0
1.934506820E-1,5.889334679E-1,3.394817114E0,9.504590988E0,1.010984054E1
1.958370880E-1,6.272186637E-1,3.435495138E0,9.581160545E0,1.019777758E1
1.982234430E-1,6.631109715E-1,3.478565931E0,9.629017830E0,1.025953807E1
2.006098490E-1,7.013961077E-1,3.519243956E0,9.650552750E0,1.029612563E1
2.029962550E-1,7.396813035E-1,3.550350666E0,9.655338287E0,1.031395539E1
2.053826090E-1,7.731808424E-1,3.576671600E0,9.643374443E0,1.031431331E1
2.077690160E-1,8.066803217E-1,3.595814228E0,9.614660263E0,1.029671331E1
2.101554220E-1,8.353942037E-1,3.610171080E0,9.566803932E0,1.025938381E1
2.125418280E-1,8.739784956E-1,3.622135162E0,9.516554832E0,1.022000574E1
2.149281820E-1,9.337990284E-1,3.641277790E0,9.449555397E0,1.016980736E1
2.173145880E-1,1.019940615E0,3.670290947E0,9.375378609E0,1.011973510E1
2.197009950E-1,1.120439172E0,3.710968733E0,9.284450531E0,1.006119747E1
2.220873490E-1,1.240080357E0,3.766003847E0,9.193224907E0,1.001179147E1
2.244737550E-1,1.366899967E0,3.830610037E0,9.087940216E0,9.956537859E0
2.268601610E-1,1.491625786E0,3.911965847E0,8.958727837E0,9.888742525E0
2.292465160E-1,1.608874083E0,3.995714664E0,8.803194046E0,9.800532481E0
2.316329220E-1,1.711765528E0,4.079463482E0,8.628219604E0,9.696305331E0
2.340193280E-1,1.788335800E0,4.163212299E0,8.451150894E0,9.589183126E0
2.364057340E-1,1.826620936E0,4.237689018E0,8.281260490E0,9.480180777E0
2.387920880E-1,1.829013824E0,4.304687977E0,8.137690544E0,9.386034175E0
2.411784950E-1,1.795514345E0,4.362115860E0,8.039285660E0,9.321053613E0
2.435649010E-1,1.747657895E0,4.412364960E0,7.972286701E0,9.277964642E0
2.459512550E-1,1.702194214E0,4.457828522E0,7.929215908E0,9.254305224E0
2.483376610E-1,1.668694735E0,4.488935471E0,7.898109436E0,9.236623649E0
2.507240680E-1,1.668694735E0,4.515256405E0,7.878966808E0,9.233103513E0
2.531104220E-1,1.706979871E0,4.532006264E0,7.886145115E0,9.254412236E0
2.554968280E-1,1.785943031E0,4.543970108E0,7.926823139E0,9.309768092E0
2.578832340E-1,1.891227245E0,4.553541660E0,7.991429329E0,9.390123794E0
2.602696410E-1,2.015953064E0,4.558327198E0,8.048856735E0,9.467127777E0
2.626559950E-1,2.149951220E0,4.563112736E0,8.084749222E0,9.529294731E0
2.650424010E-1,2.288734913E0,4.567898273E0,8.087141991E0,9.565869940E0
2.674288070E-1,2.429911375E0,4.577469826E0,8.070392609E0,9.591086286E0
2.698151610E-1,2.568994284E0,4.589433670E0,8.039285660E0,9.606911416E0
2.722015680E-1,2.702992201E0,4.603790760E0,7.996214867E0,9.614598712E0
2.745879740E-1,2.834597588E0,4.625326157E0,7.938787460E0,9.615244764E0
2.769743280E-1,2.966202736E0,4.646861553E0,7.871788502E0,9.610241161E0
2.793607340E-1,3.098107100E0,4.666004181E0,7.785646915E0,9.590941586E0
2.817471410E-1,3.224926710E0,4.682754040E0,7.699504852E0,9.571348528E0
2.841334950E-1,3.332603693E0,4.701896667E0,7.606184959E0,9.542962291E0
2.865199010E-1,3.413959742E0,4.718646049E0,7.529315472E0,9.518998536E0
2.889063070E-1,3.473780155E0,4.723432064E0,7.469494820E0,9.495857617E0
2.912927130E-1,3.504886866E0,4.709074974E0,7.438388348E0,9.475718456E0
2.936790680E-1,3.514458179E0,4.668396950E0,7.424031258E0,9.447835016E0
2.960654740E-1,3.495315790E0,4.594219685E0,7.435995579E0,9.413719628E0
2.984518800E-1,3.512065411E0,4.462614059E0,7.467102051E0,9.381212114E0
3.008382340E-1,3.629313707E0,4.285545349E0,7.493422985E0,9.364251436E0
3.032246410E-1,3.754039526E0,4.120141506E0,7.483851910E0,9.331474599E0
3.056110470E-1,3.852145433E0,3.971786499E0,7.469494820E0,9.295561591E0
3.079974010E-1,3.931108475E0,3.842574120E0,7.433602810E0,9.245401043E0
3.103838070E-1,3.976572037E0,3.732504129E0,7.330711365E0,9.136960181E0
3.127702130E-1,4.010071754E0,3.651148319E0,7.165606499E0,8.986516345E0
3.151565680E-1,4.031607151E0,3.605385542E0,6.961917400E0,8.815948900E0
3.175429740E-1,4.048357010E0,3.591028690E0,6.739385128E0,8.643147195E0
3.199293800E-1,4.079463482E0,3.600599766E0,6.509674072E0,8.484232287E0
3.223157860E-1,4.115355968E0,3.629313707E0,6.286842346E0,8.344606607E0
3.247021410E-1,4.163212299E0,3.672683716E0,6.071488380E0,8.227023367E0
3.270885470E-1,4.175176620E0,3.718147278E0,5.867799282E0,8.104800269E0
3.294749530E-1,4.167997837E0,3.768396616E0,5.669195175E0,7.982029376E0
3.318613070E-1,4.117748737E0,3.813860178E0,5.501697540E0,7.859393103E0
3.342477130E-1,4.038785458E0,3.842574120E0,5.391627789E0,7.755437708E0
3.366341200E-1,3.938287020E0,3.868895054E0,5.317151070E0,7.664890677E0
3.390204740E-1,3.835395575E0,3.923929930E0,5.238187790E0,7.585914357E0
3.414068800E-1,3.691826344E0,4.012464523E0,5.161617756E0,7.508112357E0
3.437932860E-1,3.492922783E0,4.144069672E0,5.104189873E0,7.444902771E0
3.461796930E-1,3.215355396E0,4.323830605E0,5.099404335E0,7.418756364E0
3.485660470E-1,2.851347208E0,4.541577339E0,5.149653435E0,7.434718295E0
3.509524530E-1,2.453839540E0,4.764110088E0,5.238187790E0,7.493776401E0
3.533388590E-1,2.099701881E0,4.967798710E0,5.341378212E0,7.590658286E0
3.557252130E-1,1.829013824E0,5.130510807E0,5.427519798E0,7.689304512E0
3.581116200E-1,1.663909078E0,5.242973328E0,5.487340450E0,7.769701922E0
3.604980260E-1,1.608874083E0,5.302793980E0,5.520840168E0,7.822261563E0
3.628843800E-1,1.635195136E0,5.326722145E0,5.516054630E0,7.840579738E0
3.652707860E-1,1.730908036E0,5.309972763E0,5.477769375E0,7.822902959E0
3.676571930E-1,1.869691849E0,5.271687508E0,5.417948723E0,7.787207789E0
3.700435990E-1,2.054238319E0,5.211866856E0,5.367699623E0,7.758585595E0
3.724299530E-1,2.255235434E0,5.142475128E0,5.314758301E0,7.731609994E0
3.748163590E-1,2.504088879E0,5.037190914E0,5.264508724E0,7.704466596E0
3.772027660E-1,2.717349291E0,4.953442097E0,5.214259624E0,7.688242921E0
3.795891200E-1,2.911167860E0,4.864907742E0,5.168796062E0,7.671940979E0
3.819755260E-1,3.102892876E0,4.773980141E0,5.195116997E0,7.707663147E0
3.843619320E-1,3.260818958E0,4.692325115E0,5.271687508E0,7.774416019E0
3.867482860E-1,3.373281717E0,4.630111694E0,5.372485161E0,7.853697260E0
3.891346930E-1,3.452244759E0,4.591826439E0,5.487340450E0,7.944417482E0
3.915210990E-1,3.516851187E0,4.567898273E0,5.606981754E0,8.041901597E0
3.939074530E-1,3.579064369E0,4.546362877E0,5.719444275E0,8.135794981E0
3.962938590E-1,3.641277790E0,4.527220249E0,5.807978630E0,8.215061953E0
3.986802660E-1,3.706183195E0,4.515256405E0,5.860620975E0,8.274672954E0
4.010666720E-1,3.789932013E0,4.510470867E0,5.877370834E0,8.321743809E0
4.034530260E-1,3.900001764E0,4.520041943E0,5.858228207E0,8.364187387E0
4.058394320E-1,4.033999920E0,4.539184570E0,5.812764645E0,8.406282456E0
4.082258380E-1,4.187140465E0,4.563112736E0,5.760122299E0,8.457727355E0
4.106121930E-1,4.345366001E0,4.603790760E0,5.700301647E0,8.518834070E0
4.129985990E-1,4.488935471E0,4.666004181E0,5.633302689E0,8.582321123E0
4.153850050E-1,4.625326157E0,4.737788677E0,5.580660820E0,8.659333623E0
4.177713590E-1,4.754538536E0,4.809872627E0,5.549553871E0,8.748603291E0
4.201577660E-1,4.869693279E0,4.872086048E0,5.551946640E0,8.847329913E0
4.225441720E-1,4.970191956E0,4.917549610E0,5.602196217E0,8.959336175E0
4.249305780E-1,5.041976452E0,4.939085007E0,5.702694416E0,9.073963348E0
4.273169320E-1,5.082654476E0,4.943870544E0,5.851049423E0,9.192932711E0
4.297033380E-1,5.104189873E0,4.922335148E0,6.037988663E0,9.313401347E0
4.320897450E-1,5.149653435E0,4.864907742E0,6.255735874E0,9.450951759E0
4.344760990E-1,5.104189873E0,4.795515537E0,6.442375660E0,9.515982748E0
4.368625050E-1,5.056333542E0,4.713860512E0,6.665207386E0,9.602706874E0
4.392489110E-1,4.994120121E0,4.615755081E0,6.894918442E0,9.684334312E0
4.416352660E-1,4.941477776E0,4.512863636E0,7.103393078E0,9.759217900E0
4.440216720E-1,4.907978535E0,4.407579422E0,7.292426109E0,9.833335559E0
4.464080780E-1,4.891228676E0,4.307080746E0,7.459923744E0,9.905832866E0
4.487944840E-1,4.876871586E0,4.220939159E0,7.627720356E0,9.989110155E0
4.511808380E-1,4.860121727E0,4.156033993E0,7.797610760E0,1.008445017E1
4.535672450E-1,4.831408024E0,4.120141506E0,7.967501163E0,1.018818651E1
4.559536510E-1,4.807479858E0,4.108177185E0,8.132605553E0,1.030185689E1
4.583400050E-1,4.833800793E0,4.108177185E0,8.290831566E0,1.043937919E1
4.607264110E-1,4.898406982E0,4.122534275E0,8.432007790E0,1.058718259E1
4.631128180E-1,4.939085007E0,4.167997837E0,8.556434631E0,1.072284199E1
4.654991720E-1,5.001298428E0,4.230510235E0,8.712266922E0,1.090017421E1
4.678855780E-1,5.070690155E0,4.309473515E0,8.879764557E0,1.109656159E1
4.702719840E-1,5.144867897E0,4.398007870E0,9.023334503E0,1.127974754E1
4.726583380E-1,5.216652393E0,4.484149456E0,9.169296265E0,1.146285534E1
4.750447450E-1,5.321936607E0,4.539184570E0,9.305986404E0,1.164167466E1
4.774311510E-1,5.362913609E0,4.618147850E0,9.420842171E0,1.178305559E1
4.798175570E-1,5.389235020E0,4.692325115E0,9.573982239E0,1.194666920E1
4.822039110E-1,5.410770416E0,4.752145767E0,9.717552185E0,1.209504636E1
4.845903180E-1,5.434698582E0,4.797908306E0,9.849455833E0,1.222978548E1
4.869767240E-1,5.458626747E0,4.838586330E0,9.945169449E0,1.233348771E1
4.893630780E-1,5.487340450E0,4.869693279E0,1.001456070E1,1.241435636E1
4.917494840E-1,5.511268616E0,4.896014214E0,1.004566765E1,1.246035615E1
4.941358910E-1,5.528018475E0,4.917549610E0,1.002652550E1,1.246083849E1
