"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.662198500E-2,1.172483116E-1,4.618147850E0,8.070392609E0,9.299046918E0
3.900870300E-2,1.244267747E-1,4.625326157E0,8.137690544E0,9.361150115E0
4.139537000E-2,1.268195957E-1,4.632504463E0,8.207082748E0,9.425093530E0
4.378203700E-2,1.244267747E-1,4.637290478E0,8.283653259E0,9.494148530E0
4.616875500E-2,1.148554832E-1,4.634897232E0,8.369794846E0,9.568120499E0
4.855542200E-2,1.028913707E-1,4.627718925E0,8.455936432E0,9.639980811E0
5.094208900E-2,8.614161611E-2,4.620540619E0,8.542078018E0,9.712049879E0
5.332880800E-2,5.982056633E-2,4.613361835E0,8.630612373E0,9.786427125E0
5.571547400E-2,3.110669367E-2,4.606183529E0,8.719446182E0,9.861370901E0
5.810214100E-2,-2.392822644E-3,4.599005222E0,8.791230202E0,9.921521215E0
6.048880800E-2,-3.589234129E-2,4.594219685E0,8.863015175E0,9.983044664E0
6.287552600E-2,-7.417750359E-2,4.594219685E0,8.925228119E0,1.003852847E1
6.526219300E-2,-1.124626622E-1,4.596612453E0,8.975478172E0,1.008467661E1
6.764891200E-2,-1.531406492E-1,4.601397991E0,9.023334503E0,1.012999907E1
7.003557800E-2,-1.914258152E-1,4.608576298E0,9.073583603E0,1.017868060E1
7.242224500E-2,-2.321037948E-1,4.618147850E0,9.121439934E0,1.022652572E1
7.480896400E-2,-2.703889608E-1,4.622933388E0,9.166903496E0,1.027018710E1
7.719563000E-2,-3.017947674E-1,4.620540619E0,9.214759827E0,1.031272391E1
7.958229700E-2,-3.257229924E-1,4.620540619E0,9.265308380E0,1.035864038E1
8.196901600E-2,-3.448655605E-1,4.618147850E0,9.308379173E0,1.039673721E1
8.435568300E-2,-3.664009571E-1,4.610969067E0,9.346664429E0,1.042858674E1
8.674234900E-2,-3.879363835E-1,4.599005222E0,9.380164146E0,1.045412948E1
8.912901600E-2,-4.070789516E-1,4.584648132E0,9.411270142E0,1.047648402E1
9.151573500E-2,-4.214358926E-1,4.572684288E0,9.430413246E0,1.048902969E1
9.390240100E-2,-4.357928336E-1,4.558327198E0,9.449555397E0,1.050058853E1
9.628906800E-2,-4.453641176E-1,4.543970108E0,9.471091270E0,1.051416109E1
9.867578700E-2,-4.453641176E-1,4.534399033E0,9.483055115E0,1.052081071E1
1.010624530E-1,-4.334000051E-1,4.529613495E0,9.490233421E0,1.052472158E1
1.034491200E-1,-4.142574072E-1,4.529613495E0,9.490233421E0,1.052395068E1
1.058358390E-1,-3.903291821E-1,4.529613495E0,9.473484039E0,1.050793296E1
1.082225050E-1,-3.640081584E-1,4.534399033E0,9.456734657E0,1.049395573E1
1.106091720E-1,-3.400799036E-1,4.543970108E0,9.435198784E0,1.047789553E1
1.129958910E-1,-3.209373355E-1,4.558327198E0,9.406484604E0,1.045769096E1
1.153825580E-1,-3.113660514E-1,4.572684288E0,9.370592117E0,1.043141347E1
1.177692240E-1,-3.161516786E-1,4.587040901E0,9.329915047E0,1.040135620E1
1.201559430E-1,-3.281157911E-1,4.601397991E0,9.279664993E0,1.036304520E1
1.225426100E-1,-3.472583890E-1,4.618147850E0,9.219545364E0,1.031735890E1
1.249292760E-1,-3.735794425E-1,4.634897232E0,9.150154114E0,1.026387618E1
1.273159950E-1,-4.046861231E-1,4.644468784E0,9.075976372E0,1.020334299E1
1.297026620E-1,-4.334000051E-1,4.651647091E0,9.006584167E0,1.014614284E1
1.320893280E-1,-4.549354017E-1,4.658825874E0,8.932407379E0,1.008461830E1
1.344760470E-1,-4.764707983E-1,4.663611412E0,8.851051331E0,1.001585770E1
1.368627140E-1,-4.932205677E-1,4.666004181E0,8.786444664E0,9.960746527E0
1.392493800E-1,-5.027918816E-1,4.668396950E0,8.717052460E0,9.901198581E0
1.416360990E-1,-5.099703074E-1,4.673182487E0,8.633005142E0,9.829927877E0
1.440227660E-1,-5.123631358E-1,4.685146809E0,8.549256325E0,9.762320437E0
1.464094330E-1,-5.099703074E-1,4.697110653E0,8.463114738E0,9.692637891E0
1.487961510E-1,-5.051847100E-1,4.713860512E0,8.388936996E0,9.635868225E0
1.511828180E-1,-4.956133962E-1,4.735395908E0,8.319544792E0,9.585636786E0
