"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.461943700E-2,2.566601276E0,4.886443138E0,9.810872078E0,1.125690808E1
3.700594800E-2,2.446661234E0,4.802694321E0,9.774979591E0,1.116253779E1
3.939240600E-2,2.303091764E0,4.723432064E0,9.729516029E0,1.105796203E1
4.177891700E-2,2.145165443E0,4.644468784E0,9.676874161E0,1.094599098E1
4.416542700E-2,1.980060697E0,4.567898273E0,9.612267494E0,1.082506450E1
4.655193700E-2,1.809871197E0,4.491328239E0,9.530911446E0,1.069046005E1
4.893844800E-2,1.630409479E0,4.417150497E0,9.449555397E0,1.055762998E1
5.132490600E-2,1.446162224E0,4.340580463E0,9.365806580E0,1.042354819E1
5.371141700E-2,1.259222865E0,4.275974274E0,9.291629791E0,1.030553164E1
5.609792700E-2,1.074975610E0,4.228117466E0,9.233902931E0,1.021261540E1
5.848443700E-2,9.002995491E-1,4.196712017E0,9.188439369E0,1.014151611E1
6.087094800E-2,7.301099896E-1,4.177569389E0,9.176474571E0,1.010904704E1
6.325740600E-2,5.721837282E-1,4.165605068E0,9.181260109E0,1.009827693E1
6.564391700E-2,4.262215197E-1,4.167997837E0,9.193224907E0,1.010293299E1
6.803042700E-2,2.898306549E-1,4.175176620E0,9.190832138E0,1.009888593E1
7.041693700E-2,1.746760458E-1,4.201497555E0,9.171689034E0,1.008974594E1
7.280339600E-2,9.332008660E-2,4.240081787E0,9.114261627E0,1.005269950E1
7.518990600E-2,3.589234129E-2,4.283152580E0,9.028120041E0,9.992679108E0
7.757641700E-2,9.571290575E-3,4.328616142E0,8.915657043E0,9.910900556E0
7.996292700E-2,7.178467698E-3,4.378865242E0,8.779266357E0,9.810709970E0
8.234943700E-2,2.871387079E-2,4.426722050E0,8.628219604E0,9.697570115E0
8.473589600E-2,7.657032460E-2,4.467400074E0,8.451150894E0,9.559575193E0
8.712240600E-2,1.459621787E-1,4.498506546E0,8.262117386E0,9.408530693E0
8.950891700E-2,2.368894368E-1,4.515256405E0,8.058428764E0,9.240234367E0
9.189537500E-2,3.472583890E-1,4.520041943E0,7.852645874E0,9.067271628E0
9.428188500E-2,4.716851711E-1,4.517649174E0,7.658827305E0,8.904452630E0
9.666839600E-2,6.128616929E-1,4.479363918E0,7.479066372E0,8.739378374E0
9.905490600E-2,7.827520967E-1,4.386044025E0,7.321139812E0,8.570249191E0
1.014414170E-1,9.720842242E-1,4.261617184E0,7.211070061E0,8.432429079E0
1.038278750E-1,1.163509965E0,4.134498596E0,7.122535706E0,8.317352280E0
1.062143850E-1,1.345364571E0,4.010071754E0,6.988238335E0,8.168607980E0
1.086008960E-1,1.517946839E0,3.909573078E0,6.811169624E0,7.998809656E0
1.109874060E-1,1.675873160E0,3.833002806E0,6.612565517E0,7.824735400E0
1.133739170E-1,1.819442511E0,3.777967930E0,6.423233509E0,7.670811003E0
1.157603750E-1,1.946262121E0,3.742075443E0,6.243771553E0,7.534968353E0
1.181468850E-1,2.051845312E0,3.720540047E0,6.069095612E0,7.408536223E0
1.205333960E-1,2.137987137E0,3.706183195E0,5.906383514E0,7.293294804E0
1.229198540E-1,2.188236237E0,3.687040567E0,5.740979671E0,7.165297870E0
1.253063640E-1,2.202593327E0,3.655933857E0,5.539982796E0,6.993474037E0
1.276928750E-1,2.173879385E0,3.610171080E0,5.309972763E0,6.779004171E0
1.300793850E-1,2.097309113E0,3.543172121E0,5.051547527E0,6.516970662E0
1.324658960E-1,1.970489502E0,3.466601849E0,4.771587372E0,6.218376259E0
1.348523540E-1,1.781157374E0,3.366103172E0,4.505684853E0,5.899522705E0
1.372388640E-1,1.620838284E0,3.296711445E0,4.357329845E0,5.699275961E0
1.396253750E-1,1.515554070E0,3.263211966E0,4.342973232E0,5.639758237E0
1.420118850E-1,1.460519075E0,3.253640652E0,4.431507587E0,5.688369974E0
1.443983440E-1,1.443769336E0,3.279961586E0,4.634897232E0,5.858744768E0
1.467848540E-1,1.446162224E0,3.370888948E0,4.951049328E0,6.161750314E0
1.491713640E-1,1.455733418E0,3.483351469E0,5.254937649E0,6.470492016E0
1.515578750E-1,1.467697620E0,3.576671600E0,5.494519234E0,6.718367186E0
1.539443330E-1,1.484447360E0,3.619742393E0,5.707480431E0,6.919642464E0
1.563308440E-1,1.503589988E0,3.629313707E0,5.906383514E0,7.093522895E0
1.587173540E-1,1.520339727E0,3.622135162E0,6.085845470E0,7.243535816E0
1.611038640E-1,1.541875124E0,3.593421459E0,6.241378784E0,7.365111391E0
1.634903750E-1,1.561017632E0,3.543172121E0,6.368198395E0,7.452838085E0
1.658768330E-1,1.587338686E0,3.473780155E0,6.471388817E0,7.514363971E0
1.682633440E-1,1.628016710E0,3.387638569E0,6.535995007E0,7.539613001E0
1.706498540E-1,1.671087503E0,3.282354355E0,6.583851337E0,7.544102464E0
1.730363640E-1,1.728515267E0,3.148356438E0,6.612565517E0,7.525020665E0
1.754228750E-1,1.802692771E0,3.002095222E0,6.624529362E0,7.493107914E0
1.778093330E-1,1.891227245E0,2.844168901E0,6.619743824E0,7.448962715E0
1.801958440E-1,1.987239242E0,2.686242580E0,6.610172749E0,7.406713358E0
1.825823540E-1,2.078166485E0,2.533101797E0,6.593422890E0,7.362649391E0
1.849688120E-1,2.161915302E0,2.382055044E0,6.581458569E0,7.325548505E0
1.873553230E-1,2.228914261E0,2.243271112E0,6.602993965E0,7.321192073E0
1.897418330E-1,2.269592285E0,2.121237278E0,6.669992924E0,7.357955037E0
1.921283440E-1,2.281556368E0,2.013560295E0,6.772884369E0,7.425084996E0
1.945148540E-1,2.279163599E0,1.927119493E0,6.885347366E0,7.504424336E0
1.969013120E-1,2.264806747E0,1.864906192E0,6.978667259E0,7.570272216E0
1.992878230E-1,2.248056889E0,1.829013824E0,7.043572426E0,7.616492885E0
2.016743330E-1,2.224128723E0,1.807478428E0,7.077072144E0,7.635357030E0
2.040608440E-1,2.195414782E0,1.807478428E0,7.093822002E0,7.642586927E0
2.064473020E-1,2.154736757E0,1.821835399E0,7.101000309E0,7.641085008E0
2.088338120E-1,2.111665964E0,1.843370795E0,7.103393078E0,7.636448275E0
2.112203230E-1,2.066202402E0,1.876870275E0,7.124928474E0,7.652217990E0
2.136068330E-1,2.023131609E0,1.922333837E0,7.179963589E0,7.703265932E0
2.159932920E-1,1.975275040E0,1.984846354E0,7.304390430E0,7.822751823E0
2.183798020E-1,1.922333837E0,2.066202402E0,7.502994537E0,8.016201518E0
