"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.621182800E-2,1.790728688E0,1.903191328E0,8.482256889E0,8.875670589E0
3.859828700E-2,1.845763564E0,1.793121457E0,8.443971634E0,8.827388325E0
4.098469300E-2,1.896012783E0,1.673480392E0,8.415258408E0,8.787034492E0
4.337115100E-2,1.948654890E0,1.541875124E0,8.393722534E0,8.753811328E0
4.575761000E-2,1.987239242E0,1.417448282E0,8.393722534E0,8.741444813E0
4.814406800E-2,2.013560295E0,1.302293777E0,8.398508072E0,8.734147467E0
5.053052600E-2,2.027917147E0,1.197009563E0,8.405686378E0,8.729309442E0
5.291698500E-2,2.037488461E0,1.091725349E0,8.396115303E0,8.708500195E0
5.530344300E-2,2.042274237E0,9.840483069E-1,8.381758690E0,8.682920814E0
5.768990100E-2,2.051845312E0,8.955138922E-1,8.360222816E0,8.654787106E0
6.007630800E-2,2.066202402E0,8.330013752E-1,8.336295128E0,8.628841180E0
6.246276600E-2,2.085345030E0,7.899305820E-1,8.314759254E0,8.608593130E0
6.484922400E-2,2.109273195E0,7.588238716E-1,8.293224335E0,8.590833309E0
6.723568300E-2,2.140379906E0,7.372884750E-1,8.269295692E0,8.573568200E0
6.962214100E-2,2.181057930E0,7.205387354E-1,8.240582466E0,8.554729051E0
7.200859900E-2,2.224128723E0,6.966105103E-1,8.207082748E0,8.531601375E0
7.439505800E-2,2.274377823E0,6.655037999E-1,8.173583031E0,8.510179161E0
7.678151600E-2,2.322234392E0,6.320042610E-1,8.137690544E0,8.486118627E0
7.916797400E-2,2.365305185E0,5.937191248E-1,8.123034477E0,8.481206290E0
8.155438000E-2,2.398804665E0,5.530411601E-1,8.108677864E0,8.474123851E0
8.394083900E-2,2.415554523E0,5.147559643E-1,8.096714020E0,8.465025415E0
8.632729700E-2,2.420340061E0,4.788636267E-1,8.091927528E0,8.459707295E0
8.871375500E-2,2.420340061E0,4.453641176E-1,8.084749222E0,8.451009714E0
9.110021400E-2,2.413161755E0,4.070789516E-1,8.070392609E0,8.433285231E0
9.348667200E-2,2.403590441E0,3.759722710E-1,8.046463966E0,8.406199172E0
9.587313000E-2,2.382055044E0,3.472583890E-1,8.012965202E0,8.366742852E0
9.825958900E-2,2.358126640E0,3.281157911E-1,7.969893932E0,8.317910225E0
1.006459950E-1,2.329412937E0,3.041875660E-1,7.914859295E0,8.256130593E0
1.030324530E-1,2.298306227E0,2.799602449E-1,7.845467091E0,8.179972073E0
1.054189120E-1,2.269592285E0,2.608176768E-1,7.776075363E0,8.104716100E0
1.078053700E-1,2.240878344E0,2.512463629E-1,7.699504852E0,8.022906921E0
