"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.576559000E-2,-1.709372640E0,3.528815269E0,8.010572433E0,8.918731005E0
3.815204900E-2,-1.690230131E0,3.500101328E0,7.917252064E0,8.819890444E0
4.053855900E-2,-1.651944876E0,3.476173162E0,7.838288784E0,8.732208930E0
4.292507000E-2,-1.601695657E0,3.459423304E0,7.785646915E0,8.668871695E0
4.531158000E-2,-1.539482236E0,3.457030535E0,7.747361660E0,8.622220037E0
4.769809000E-2,-1.467697620E0,3.466601849E0,7.733004570E0,8.600629300E0
5.008460100E-2,-1.393221021E0,3.478565931E0,7.735397339E0,8.595222961E0
5.247111100E-2,-1.316650629E0,3.488137245E0,7.754539967E0,8.604275705E0
5.485757000E-2,-1.237687469E0,3.500101328E0,7.785646915E0,8.625478391E0
5.724408000E-2,-1.149153113E0,3.512065411E0,7.831110477E0,8.659182850E0
5.963059000E-2,-1.055832982E0,3.531208038E0,7.878966808E0,8.698409709E0
6.201710100E-2,-9.625129104E-1,3.559921980E0,7.936394691E0,8.751333402E0
6.440361100E-2,-8.811569214E-1,3.593421459E0,8.008178711E0,8.821566843E0
6.679012200E-2,-8.162516356E-1,3.629313707E0,8.091927528E0,8.906035922E0
6.917663200E-2,-7.683951855E-1,3.663112402E0,8.183154106E0,8.998490693E0
7.156314300E-2,-7.444669604E-1,3.691826344E0,8.271688461E0,9.088709634E0
7.394965300E-2,-7.516453862E-1,3.718147278E0,8.345866203E0,9.167500894E0
7.633611100E-2,-7.899305820E-1,3.739682674E0,8.398508072E0,9.227359030E0
7.872262200E-2,-8.572286963E-1,3.754039526E0,8.429615021E0,9.267473399E0
8.110913200E-2,-9.481559992E-1,3.756432533E0,8.422436714E0,9.270772642E0
8.349564300E-2,-1.053440213E0,3.742075443E0,8.369794846E0,9.228560595E0
8.588215300E-2,-1.173081279E0,3.720540047E0,8.288438797E0,9.160608911E0
8.826866300E-2,-1.314257860E0,3.660719633E0,8.142476082E0,9.023749703E0
9.065517400E-2,-1.443769336E0,3.593421459E0,7.965108395E0,8.856641543E0
9.304168400E-2,-1.544267893E0,3.526422262E0,7.807182312E0,8.704740832E0
9.542814300E-2,-1.613659739E0,3.471387386E0,7.642077446E0,8.547267156E0
9.781465300E-2,-1.663909078E0,3.425923824E0,7.481459141E0,8.395104427E0
1.002011630E-1,-1.685444474E0,3.390031576E0,7.321139812E0,8.242094717E0
1.025876740E-1,-1.680658817E0,3.361317635E0,7.163213730E0,8.089171851E0
1.049741840E-1,-1.654337764E0,3.346960783E0,7.022037029E0,7.952860112E0
1.073606950E-1,-1.611266971E0,3.344567776E0,6.897311211E0,7.832957091E0
1.097472050E-1,-1.556231976E0,3.349353552E0,6.789634228E0,7.729111212E0
1.121337150E-1,-1.491625786E0,3.354139090E0,6.703492641E0,7.642775027E0
1.145201740E-1,-1.407876968E0,3.351746321E0,6.636493683E0,7.566992095E0
1.169066840E-1,-1.299900889E0,3.320639610E0,6.540780544E0,7.449711395E0
1.192931950E-1,-1.161117196E0,3.263211966E0,6.439982891E0,7.312326929E0
1.216797050E-1,-9.984052777E-1,3.220141172E0,6.401698112E0,7.235182167E0
1.240662150E-1,-8.234301209E-1,3.198605776E0,6.416054726E0,7.216292283E0
1.264527260E-1,-6.631109715E-1,3.205784082E0,6.476174355E0,7.256555796E0
1.288392360E-1,-5.386841893E-1,3.251247883E0,6.574280262E0,7.354043406E0
1.312257470E-1,-4.668995142E-1,3.320639610E0,6.698707104E0,7.491149407E0
1.336122570E-1,-4.501497746E-1,3.413959742E0,6.851847649E0,7.668479128E0
1.359987150E-1,-4.980062246E-1,3.528815269E0,7.022037029E0,7.874614368E0
1.383852260E-1,-6.152545214E-1,3.655933857E0,7.203891754E0,8.101879220E0
1.407717360E-1,-8.234301209E-1,3.775574923E0,7.376174927E0,8.327121934E0
1.431582470E-1,-1.089332461E0,3.888037682E0,7.536494255E0,8.549984087E0
1.455447570E-1,-1.393221021E0,3.993321896E0,7.675576687E0,8.763684274E0
1.479312680E-1,-1.716551185E0,4.091427803E0,7.790432453E0,8.965331407E0
1.503177780E-1,-2.030309916E0,4.179962158E0,7.886145115E0,9.153443438E0
1.527042360E-1,-2.324627161E0,4.256831646E0,7.965108395E0,9.325634501E0
1.550907470E-1,-2.597707987E0,4.321437836E0,8.022536278E0,9.475441946E0
1.574772570E-1,-2.848954439E0,4.374079704E0,8.058428764E0,9.601426394E0
1.598637680E-1,-3.078665495E0,4.412364960E0,8.075178146E0,9.703383320E0
1.622502780E-1,-3.291925669E0,4.436293125E0,8.072785378E0,9.781990342E0
1.646367880E-1,-3.459423304E0,4.448257446E0,8.065607071E0,9.839137225E0
1.670232990E-1,-3.586242914E0,4.441078663E0,8.053643227E0,9.871448078E0
1.694098090E-1,-3.665505171E0,4.424329281E0,8.060821533E0,9.898861628E0
1.717963200E-1,-3.694219112E0,4.393222332E0,8.094321251E0,9.922988150E0
1.741827780E-1,-3.746861219E0,4.331008911E0,8.115856171E0,9.932961722E0
1.765692880E-1,-3.773182154E0,4.273581028E0,8.152048111E0,9.947677456E0
1.789557990E-1,-3.725325823E0,4.208974838E0,8.233403206E0,9.969074683E0
1.813423090E-1,-3.677469254E0,4.127319813E0,8.281260490E0,9.956797892E0
