"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.485266900E-2,1.776371717E0,5.216652393E0,7.110571384E0,8.996064922E0
3.723938800E-2,1.788335800E0,5.199902534E0,7.060322285E0,8.949038053E0
3.962615900E-2,1.788335800E0,5.180759907E0,7.017251492E0,8.903945004E0
4.201293000E-2,1.819442511E0,5.159224510E0,6.997809887E0,8.882415877E0
4.439964800E-2,1.836192250E0,5.130510807E0,6.971488953E0,8.848468870E0
4.678641900E-2,1.864906192E0,5.070690155E0,6.981060028E0,8.827512270E0
4.917313800E-2,1.869691849E0,5.075475693E0,6.954739094E0,8.810482222E0
5.155990900E-2,1.881655931E0,5.049154758E0,6.961917400E0,8.803572383E0
5.394668000E-2,1.898405671E0,5.010869503E0,6.954739094E0,8.779587298E0
5.633339800E-2,1.915155411E0,5.003691196E0,6.985845566E0,8.803793734E0
5.872016900E-2,1.915155411E0,4.996512890E0,7.022037029E0,8.828474690E0
6.110688800E-2,1.927119493E0,4.994120121E0,7.055536747E0,8.856388887E0
6.349365900E-2,1.919941068E0,4.989334106E0,7.072286606E0,8.865487373E0
6.588037800E-2,1.917548299E0,5.018048286E0,7.086643219E0,8.892598731E0
6.826714800E-2,1.941476464E0,5.032404900E0,7.093822002E0,8.911607068E0
7.065391900E-2,1.946262121E0,5.051547527E0,7.089035988E0,8.919669271E0
7.304063800E-2,2.056631088E0,5.104189873E0,7.096214771E0,8.979908116E0
7.542740900E-2,2.130808592E0,5.190331459E0,7.098607540E0,9.048210592E0
7.781412800E-2,2.145165443E0,5.228616714E0,7.093822002E0,9.069866489E0
8.020089800E-2,2.147558212E0,5.231009483E0,7.096214771E0,9.073683407E0
8.258766900E-2,2.130808592E0,5.207081318E0,7.081857681E0,9.044708360E0
8.497438800E-2,2.094916344E0,5.175974369E0,7.036394119E0,8.982773923E0
8.736115900E-2,2.087737799E0,5.118546963E0,7.026822567E0,8.940604427E0
8.974787800E-2,2.099701881E0,5.120939732E0,7.007380962E0,8.929510607E0
9.213464800E-2,2.183450699E0,5.187938690E0,6.993024349E0,8.976890016E0
9.452136700E-2,2.221735716E0,5.202295303E0,6.985845566E0,8.988994620E0
9.690813800E-2,2.209771633E0,5.228616714E0,6.990631580E0,9.005023782E0
9.929490900E-2,2.181057930E0,5.245366573E0,7.004988194E0,9.018910343E0
1.016816280E-1,2.140379906E0,5.283651352E0,7.024429798E0,9.046591167E0
1.040683980E-1,2.114058733E0,5.314758301E0,7.036394119E0,9.067896246E0
1.064551170E-1,2.109273195E0,5.355735302E0,7.057929516E0,9.107541001E0
