"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.837416670E-3,-4.859939602E-1,3.891102746E-1,3.617263019E-2,6.236227981E-1
1.782941667E-2,-2.983147100E-1,2.240375295E-1,-2.076667875E-1,4.269777224E-1
2.782041667E-2,-2.831303680E-1,7.221282095E-2,1.640412962E-1,3.350925897E-1
3.781141667E-2,-6.167830181E-1,1.070300665E-1,1.220895120E0,1.372028287E0
4.780241667E-2,-8.610448971E-1,-2.245935997E-1,2.098504302E0,2.279377306E0
5.779441667E-2,-7.680586731E-1,-7.259435177E-1,2.522355516E0,2.734809950E0
6.778541666E-2,1.560528302E-1,-1.745009125E0,1.772242532E0,2.492037906E0
7.777641667E-2,-3.213337362E-2,-1.771476109E0,8.059965777E-1,1.946481605E0
8.776741667E-2,-3.989181018E-1,-1.660549165E0,3.926300061E-1,1.752346285E0
9.775941667E-2,-2.194822562E-1,-1.587806733E0,-7.101911187E-2,1.604476985E0
1.077504167E-1,-3.702059340E-1,-1.165287076E0,-1.529473740E-1,1.232209114E0
1.177414167E-1,-6.539508444E-1,-5.234363133E-1,-2.991751277E-1,8.894622184E-1
1.277324167E-1,-9.363023633E-1,-3.801070243E-2,-8.526936114E-1,1.266962242E0
1.377244167E-1,-8.175962842E-1,-2.850039621E-1,-1.829298493E0,2.023863612E0
1.477154167E-1,-3.426421595E-1,-6.784217343E-1,-2.387857862E0,2.505898016E0
1.577064167E-1,-6.200428408E-1,-5.412722214E-1,-2.247382014E0,2.393356358E0
1.676974167E-1,-7.858184212E-1,-1.107742507E0,-2.406203501E0,2.763045302E0
1.776894167E-1,-1.097982554E0,-1.605125893E0,-1.371104828E0,2.379479622E0
1.876804167E-1,-9.851032251E-1,-1.251542570E0,-6.711059904E-1,1.728343258E0
1.976714167E-1,-4.941300684E-1,4.054642059E-1,-1.811172709E0,1.920654141E0
2.076624167E-1,3.853549004E-1,1.568170175E0,-3.476340444E0,3.833092613E0
2.176534167E-1,8.718853426E-1,1.673487884E0,-3.530868654E0,4.003470894E0
2.276454167E-1,5.913505536E-1,1.275167368E0,-2.989590731E0,3.303543557E0
2.376364167E-1,-5.886684358E-3,5.926218845E-1,-3.725908964E0,3.772748727E0
2.476274167E-1,2.642099476E-1,-2.045872052E-1,-6.052078700E0,6.061296842E0
2.576184167E-1,3.614304328E-1,-3.654376759E-1,-6.609156384E0,6.629111913E0
2.676104167E-1,-9.177899323E-1,6.490760207E-2,-3.540612454E0,3.658208292E0
2.776014167E-1,-2.255178691E0,8.388593915E-1,3.411861443E0,4.174962816E0
2.875924167E-1,-2.925533022E-1,7.559375413E-1,8.719800675E-1,1.190536954E0
2.975834167E-1,3.331061547E-1,4.908664450E-2,9.863048279E-1,1.042193083E0
3.075754167E-1,7.530705053E-1,-1.793938041E0,-1.613067874E0,2.527314157E0
3.175664167E-1,2.130136862E0,-2.589448807E0,-2.711520544E0,4.312200347E0
3.275574167E-1,4.826986156E0,-2.834841538E0,-4.265209358E0,7.037622664E0
3.375484167E-1,5.094428737E0,-2.618711198E0,-3.485373808E0,6.705123644E0
3.475404167E-1,4.848790131E0,-2.364812815E0,-8.650704128E-1,5.463648251E0
3.575314167E-1,6.555246810E0,-3.291985921E0,3.207098383E-1,7.342430581E0
3.675224167E-1,4.634074818E0,-4.267348854E0,4.540713787E-2,6.299760112E0
3.775134167E-1,-6.987806867E0,-4.648375061E0,-8.640430570E-1,8.437025893E0
3.875054167E-1,-9.474706621E0,-4.604866514E0,-1.039908008E0,1.058566341E1
3.974964167E-1,-6.764095320E0,-6.373916466E0,-1.927459211E0,9.491833101E0
4.074874167E-1,-3.606431052E0,-9.056101529E0,-3.391202645E0,1.032083210E1
4.174784167E-1,-2.351229149E0,-1.020158102E1,-4.670402107E0,1.146355920E1
4.274694167E-1,-8.798825794E-1,-9.642840968E0,-5.911474214E0,1.134478306E1
4.374614167E-1,-2.725048077E-1,-7.582704926E0,-5.892750260E0,9.607090012E0
4.474524167E-1,-5.866575783E-1,-5.734738027E0,-4.719411714E0,7.450116394E0
4.574434167E-1,-1.489665311E0,-4.942937320E0,-2.332335625E0,5.664937913E0
4.674344167E-1,-1.721941860E0,-4.907653466E0,-6.279582167E-1,5.238747736E0
4.774264167E-1,-1.362331080E-1,-4.430545228E0,1.143898399E0,4.577859109E0
4.874174167E-1,2.296651238E0,-3.246858280E0,4.218713468E0,5.797778792E0
4.974084167E-1,4.683027415E0,-2.329054899E0,7.328382035E0,9.003356360E0
5.073994167E-1,5.301145937E0,-2.577795306E0,8.999982292E0,1.075857138E1
5.173914167E-1,4.309266374E0,-3.127643200E0,8.888031501E0,1.036093783E1
5.273824167E-1,3.561274175E0,-3.290622642E0,8.366877356E0,9.670341660E0
5.373734167E-1,3.855835265E0,-3.828299849E0,8.515265071E0,1.010114274E1
5.473644167E-1,5.086946640E0,-4.078646341E0,9.162791580E0,1.124584953E1
5.573564167E-1,5.945307373E0,-3.297137318E0,9.173061630E0,1.141765536E1
5.673474167E-1,6.405008451E0,-1.648129533E0,9.398944248E0,1.149263317E1
5.773384167E-1,7.238990972E0,-1.422861457E-1,8.947747945E0,1.151023149E1
5.873294167E-1,7.355386232E0,1.290962305E0,8.087096273E0,1.100769805E1
5.973214167E-1,7.451593394E0,2.136629317E0,6.536575481E0,1.013993333E1
6.073124167E-1,7.831239073E0,2.612041279E0,5.049157839E0,9.677037768E0
6.173034167E-1,8.072866489E0,3.147175532E0,3.856917000E0,9.484286791E0
6.272944167E-1,8.343817692E0,3.820195316E0,1.272538898E0,9.264585321E0
6.372854167E-1,1.042817466E1,6.302285151E0,-8.639401460E0,1.493669583E1
6.472774167E-1,1.035440384E1,8.300120865E0,-1.150240874E1,1.756163695E1
6.572684167E-1,9.203250219E0,7.853035154E0,-5.672811921E0,1.336228913E1
6.672594167E-1,9.962972517E0,7.132200349E0,-3.242705587E0,1.267455099E1
6.772504167E-1,1.028324674E1,6.458239748E0,-2.533831261E0,1.240460902E1
6.872424167E-1,8.047826958E0,5.574593316E0,-1.989146751E0,9.990010719E0
6.972334167E-1,4.658074130E0,4.813674678E0,-4.307894617E0,7.964111660E0
7.072244167E-1,2.675602267E0,4.120160403E0,-4.251591777E0,6.496968668E0
7.172154167E-1,1.097804214E0,5.041673403E0,-5.450154626E0,7.505186890E0
7.272074167E-1,-1.242884159E0,6.500269534E0,-4.432771263E0,7.965408095E0
7.371984167E-1,-2.443856938E0,5.820203855E0,-6.826966336E-1,6.349274316E0
7.471894167E-1,-1.633631362E0,4.113042587E0,-1.929104617E-1,4.429795164E0
7.571804167E-1,-7.404256091E-1,1.612292533E0,-2.770036554E-1,1.795674892E0
7.671724167E-1,-1.267980116E0,-4.758300376E-1,4.950922278E-1,1.441979235E0
7.771634167E-1,-2.626314917E0,-9.491568822E-1,5.921694562E-1,2.854661713E0
7.871544167E-1,-3.797990515E0,-1.034797541E0,-1.543226391E-1,3.939461052E0
7.971454167E-1,-3.572287113E0,-1.190936911E0,-8.523550576E-1,3.860838651E0
8.071364167E-1,-3.171198525E0,-1.274853811E0,-1.442614521E0,3.709836786E0
8.171284167E-1,-2.370578462E0,-1.076556602E0,-1.811905073E0,3.172005100E0
8.271194167E-1,-1.646077160E0,-3.623507845E-1,-1.397629260E0,2.189574309E0
8.371104167E-1,-7.292664903E-1,3.086803615E-1,-1.101702260E0,1.356783347E0
8.471014167E-1,3.236118114E-1,7.523618227E-1,-5.690773398E-1,9.973073425E-1
8.570934167E-1,6.558114284E-1,9.986646724E-1,-1.200620484E0,1.693785496E0
8.670844167E-1,-1.216396272E-2,7.446189398E-1,-4.457078138E-1,8.679059757E-1
8.770754167E-1,-1.697934946E-1,6.264706850E-3,3.658067814E-1,4.033406484E-1
8.870658333E-1,8.633533779E-1,-8.348063940E-1,-3.281419417E-1,1.244973054E0
