"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.998208329E-3,-1.057445123E0,-2.334372211E-1,3.093060136E-2,1.083346587E0
1.498920834E-2,-9.578107613E-1,-6.996705160E-1,-5.652620316E-1,1.313948800E0
2.498020833E-2,-6.549295221E-1,-1.148967058E0,-1.392638953E0,1.920547119E0
3.497120833E-2,-5.319809957E-1,-1.393747293E0,-2.077742009E0,2.557840329E0
4.496220833E-2,-5.732557601E-1,-1.663193715E0,-2.200980849E0,2.817650120E0
5.495320833E-2,-4.236106011E-1,-2.032948244E0,-1.567366621E0,2.601723011E0
6.494420833E-2,2.155386016E-1,-2.235751317E0,-3.855893737E-1,2.278973454E0
7.493520833E-2,7.689714235E-1,-2.021035419E0,6.632865089E-1,2.261824531E0
8.492620834E-2,7.276190373E-1,-1.908630007E0,1.395104139E0,2.473583135E0
9.491620833E-2,6.732162505E-2,-1.999436097E0,1.938394089E0,2.785614573E0
1.049072083E-1,-7.722128275E-1,-2.561271075E0,8.344011819E-1,2.802257573E0
1.148982083E-1,-1.537439986E0,-3.692493880E0,-5.220604634E-1,4.033705480E0
1.248892083E-1,-2.771979292E0,-3.305229279E0,-9.954095274E-1,4.427104009E0
1.348802083E-1,-2.600416430E0,-2.759305744E0,-5.155490041E-1,3.826450649E0
1.448712083E-1,-1.936716523E0,-2.248024477E0,-4.261854225E-1,2.997685599E0
1.548622083E-1,-6.644656000E-1,-1.733712012E0,-9.460338843E-1,2.083807089E0
1.648532083E-1,-4.926878527E-2,-1.068508348E0,-1.361913589E0,1.731746554E0
1.748442083E-1,7.598936212E-1,-1.813903871E-1,-1.717426055E0,1.886767883E0
1.848352083E-1,3.637891996E-1,2.487734444E-2,-7.918118173E-1,8.717381591E-1
1.948252083E-1,-8.944456547E-2,4.564151255E-1,1.678174281E-1,4.944469499E-1
2.048162083E-1,-4.492601435E-1,6.933343269E-1,1.757891711E0,1.942351779E0
