"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.461874999E-3,3.901466205E-1,-8.304800391E-2,-6.837944484E-1,7.916351458E-1
8.529125000E-3,1.066319662E0,1.422218263E-1,-1.257665920E0,1.654988893E0
1.852012501E-2,1.318798560E0,1.417157498E-1,-1.121885387E0,1.737221867E0
2.851112501E-2,1.200447991E0,1.578058255E-1,-8.349712855E-1,1.470766843E0
3.850212500E-2,1.017996883E0,7.638217807E-3,-9.714827210E-1,1.407179688E0
4.849312500E-2,8.627681447E-1,9.034211308E-2,-5.077716225E-1,1.005167941E0
5.848412500E-2,1.015877779E0,1.029709294E-1,-2.336711097E-1,1.047479289E0
6.847512500E-2,1.030221364E0,-1.119870436E-1,1.533456278E0,1.850779651E0
7.846612500E-2,6.175009100E-1,-1.177626309E-1,2.077259029E0,2.170295022E0
8.845812501E-2,3.141054082E-1,1.253488085E-1,8.085904026E-1,8.764661833E-1
9.844912501E-2,-2.333391340E-1,4.798049748E-2,-6.504939705E-1,6.927421492E-1
1.084401250E-1,-6.870036927E-1,-2.126711270E-1,-2.003343791E0,2.128518129E0
1.184311250E-1,-4.793676031E-1,-5.960446984E-1,-3.592425801E0,3.672953269E0
1.284221250E-1,4.614300996E-2,-6.446289209E-1,-4.750724139E0,4.794481772E0
1.384131250E-1,-1.224835266E-1,-6.858900905E-2,-2.994034030E0,2.997323213E0
1.484041250E-1,-6.113993405E-1,7.384004259E-1,8.081922072E-1,1.253881568E0
1.583951250E-1,-6.387906222E-1,1.138089775E0,2.533312029E0,2.849731852E0
1.683861250E-1,-1.331716521E-1,3.965146038E-1,1.167707677E0,1.240362745E0
1.783771250E-1,-3.579026614E-1,-1.032509234E0,-1.290548322E0,1.691060201E0
1.883681250E-1,-1.036562670E0,-1.546429203E0,-2.600892393E0,3.198522579E0
1.983591250E-1,-5.986168154E-1,-1.516754876E0,-2.704024998E0,3.157631808E0
2.083501250E-1,1.974101865E-1,-1.463362196E0,-1.207016169E0,1.907167463E0
2.183411250E-1,-1.462769435E-1,-1.443319695E0,-1.846655953E-1,1.462419252E0
2.283321250E-1,-1.138789760E0,-9.343838918E-1,-3.408353698E-1,1.511980200E0
2.383231250E-1,-1.652880980E0,-1.650610507E-2,-3.622525513E-1,1.692192335E0
2.483141250E-1,-1.564357644E0,5.618531048E-1,-5.436209017E-1,1.748833163E0
2.583051250E-1,-7.705376733E-1,7.773522377E-1,-7.775826180E-1,1.342624123E0
2.682961250E-1,2.434831030E-1,7.053195110E-1,-5.327111667E-1,9.168101337E-1
2.782871250E-1,8.845748969E-1,2.035465470E-1,1.445203668E-1,9.191246278E-1
2.882781250E-1,9.153663345E-1,-7.233315665E-1,3.264243221E-1,1.211468910E0
2.982691250E-1,4.564288299E-1,-1.534595024E0,-2.260287988E-1,1.616910072E0
3.082601250E-1,-1.339072318E-1,-9.940187672E-1,5.659467405E-1,1.151651062E0
3.182511250E-1,-2.440939908E-1,-6.713042110E-2,1.467613707E0,1.489287871E0
3.282421250E-1,4.828249155E-1,-2.726018715E-1,1.976955307E-1,5.886554189E-1
3.382341250E-1,1.080822292E0,-7.428615591E-1,1.372049153E-2,1.311567144E0
3.482251250E-1,8.082119416E-1,-1.526103112E0,-1.630707169E0,2.375163810E0
3.582161250E-1,2.002047171E0,-1.211370883E0,-2.401721610E0,3.353189374E0
3.682071250E-1,4.291875585E0,4.325737980E-1,-2.771877843E0,5.127438239E0
3.781981250E-1,4.768688539E0,2.110496064E0,-3.038689801E0,6.035579486E0
3.881891250E-1,5.459899011E0,3.033283466E0,-3.450971130E0,7.135860672E0
3.981801250E-1,6.150524762E0,2.331458835E0,-4.502985213E0,7.971294184E0
4.081711250E-1,5.836911689E0,1.003974237E0,-5.226914365E0,7.899249085E0
4.181621250E-1,2.831361860E0,-2.954598069E-2,-5.018975097E0,5.762603055E0
4.281531250E-1,-3.771614602E0,4.752666584E-1,-2.481850684E0,4.539883029E0
4.381441250E-1,-3.807944522E0,1.175744675E0,-2.119273612E0,4.513772000E0
4.481351250E-1,-3.154399767E0,1.829506069E-1,-2.653925470E0,4.126382097E0
4.581261250E-1,-2.720352763E0,-5.027678677E-1,-2.953012304E0,4.046402891E0
4.681171250E-1,-1.751238164E0,-4.022752807E-1,-3.158703318E0,3.634015294E0
4.781081250E-1,-1.037211857E0,9.736900449E-2,-2.631435324E0,2.830148587E0
4.880991250E-1,-4.757090002E-1,4.192629039E-1,-1.172960815E0,1.333385732E0
4.980901250E-1,-5.309739590E-2,5.668173909E-1,2.313749081E-1,6.145206556E-1
5.080811250E-1,-3.192053497E-2,3.142752698E-1,3.340145928E-1,4.597321111E-1
5.180721250E-1,-6.941171229E-1,4.012391540E-1,-5.814395231E-1,9.903854593E-1
5.280631250E-1,-1.209119997E0,1.084844445E0,-2.484919887E0,2.968785186E0
5.380541250E-1,-2.040425078E0,1.826273436E0,-4.430922958E0,5.208808637E0
5.480451250E-1,-3.544846423E0,1.338873221E0,-6.334482259E0,7.381340200E0
5.580361250E-1,-4.194480852E0,3.295862040E-1,-6.569809885E0,7.801583084E0
5.680271250E-1,-2.760126109E0,1.508733374E0,-1.933581246E0,3.692331101E0
5.780181250E-1,2.951741120E0,4.152946910E0,6.358816617E0,8.148269291E0
5.880091250E-1,1.269317433E1,6.140838264E0,1.497761483E1,2.057074415E1
5.980001250E-1,1.256857250E1,6.186041334E0,1.515800611E1,2.063979824E1
6.079911250E-1,1.253053870E1,6.136673877E0,1.528740850E1,2.069729512E1
6.179831250E-1,1.256637395E1,5.994499998E0,1.538506519E1,2.074965097E1
6.279741250E-1,1.262335974E1,5.809913340E0,1.550273572E1,2.081920073E1
6.379651250E-1,1.706499597E1,6.678886185E0,1.249864331E1,2.218192266E1
6.479561250E-1,1.039871638E1,5.451860259E0,6.709361873E0,1.352300334E1
6.579473750E-1,7.426177887E0,5.069689752E0,2.976353804E0,9.471459980E0
6.679383750E-1,7.518548691E0,4.930873345E0,1.519005470E0,9.118632791E0
6.779293750E-1,8.522572922E0,4.635729287E0,1.986084564E0,9.902967592E0
6.879203750E-1,8.423411745E0,3.978886995E0,3.163319402E0,9.838292372E0
6.979113750E-1,7.082698406E0,2.893501098E0,3.889784491E0,8.582970855E0
7.079023750E-1,4.907792630E0,1.826797054E0,4.096990811E0,6.648981101E0
7.178933750E-1,2.807400847E0,3.905349487E-1,4.278471720E0,5.132186407E0
7.278843750E-1,1.229847792E0,-1.197332595E0,4.932134004E0,5.222267397E0
7.378753750E-1,-4.109762299E-1,-2.380007390E0,5.443053183E0,5.954843792E0
7.478663750E-1,-2.345776620E0,-3.240659646E0,4.870420736E0,6.302820086E0
7.578573750E-1,-4.745343531E0,-3.672356654E0,3.429835199E0,6.911458465E0
7.678483750E-1,-7.281607819E0,-4.109343054E0,1.404318620E0,8.478244131E0
7.778393750E-1,-9.460244118E0,-4.880979053E0,-6.985633457E-1,1.066809102E1
7.878303750E-1,-1.134159394E1,-5.373348525E0,-2.416624993E0,1.278063785E1
7.978213750E-1,-1.298413880E1,-5.558639188E0,-3.872317396E0,1.464517572E1
8.078123750E-1,-1.417731578E1,-5.792327839E0,-4.912765102E0,1.608361295E1
8.178033750E-1,-1.476297056E1,-6.242237754E0,-5.828944273E0,1.705542211E1
8.277943750E-1,-1.490977543E1,-6.464723725E0,-6.245856012E0,1.740990447E1
8.377853750E-1,-1.453811471E1,-6.451308458E0,-5.797048881E0,1.692873108E1
8.477763750E-1,-1.380603629E1,-6.303078618E0,-4.966082354E0,1.596863839E1
8.577673750E-1,-1.281296858E1,-6.022453782E0,-4.511152019E0,1.485909169E1
8.677583750E-1,-1.129020276E1,-5.627418231E0,-4.630414753E0,1.343790367E1
8.777493750E-1,-9.658264754E0,-5.176582117E0,-5.144473302E0,1.210556426E1
8.877403750E-1,-8.836081329E0,-5.004125508E0,-5.561271604E0,1.157779544E1
8.977323750E-1,-8.953279996E0,-5.183337990E0,-5.429936709E0,1.168385331E1
9.077233750E-1,-9.525468054E0,-5.546459438E0,-4.753192248E0,1.200377401E1
9.177143750E-1,-1.004594217E1,-6.030345769E0,-3.822570163E0,1.232469338E1
9.277053750E-1,-1.014718788E1,-6.450367057E0,-2.808342834E0,1.234744696E1
9.376963750E-1,-9.765819608E0,-6.683973262E0,-1.743673914E0,1.196190327E1
9.476873750E-1,-9.201935765E0,-6.788975222E0,-6.089983276E-1,1.145149271E1
9.576783750E-1,-8.711133932E0,-6.681136778E0,2.802848205E-1,1.098180325E1
9.676693750E-1,-7.869410282E0,-6.276277905E0,6.533542822E-1,1.008692988E1
9.776603750E-1,-6.776301967E0,-5.615004008E0,4.044897674E-1,8.809662328E0
9.876513750E-1,-6.003395952E0,-4.844469624E0,-3.952556983E-1,7.724368968E0
9.976423750E-1,-5.431429503E0,-4.217851004E0,-1.357352469E0,7.009500643E0
1.007633375E0,-4.919649614E0,-3.501620881E0,-2.069150695E0,6.383234738E0
1.017624375E0,-3.741398238E0,-2.719062867E0,-1.877590063E0,4.991663860E0
1.027615375E0,-2.063688810E0,-1.901898108E0,-1.268892574E0,3.079953942E0
1.037606375E0,7.078206575E-1,-7.333648038E-1,-1.798574299E-1,1.034979572E0
