"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.308875003E-3,1.768499145E-1,-4.846758516E-1,-2.022072423E0,2.086854920E0
1.429987500E-2,-5.369816076E-1,-4.359328772E-1,-2.041265323E0,2.155261200E0
2.429187500E-2,-1.395673074E0,-4.110009344E-1,-1.661803247E0,2.208713455E0
3.428287500E-2,-2.266398767E0,-4.133203787E-1,-9.747752881E-1,2.501516334E0
4.427487500E-2,-2.519880097E0,-5.238779242E-1,3.934883773E-2,2.574061405E0
5.426587500E-2,-2.084788196E0,-7.533605272E-1,1.173578866E0,2.508222729E0
6.425787500E-2,-2.033615119E0,-8.466377963E-1,2.140671498E0,3.071621798E0
7.424887500E-2,-1.892256487E0,-8.084021223E-1,2.795473112E0,3.471140810E0
8.424087500E-2,-1.544260764E0,-7.413620406E-1,2.944699903E0,3.406701704E0
9.423187500E-2,-1.188063296E0,-6.160831064E-1,2.680952470E0,2.996424358E0
1.042238750E-1,-9.607388277E-1,-3.750430432E-1,2.323067204E0,2.541715486E0
1.142148750E-1,-6.954093575E-1,-1.437478034E-1,2.172713070E0,2.285812698E0
1.242068750E-1,-4.531640005E-1,-3.147410005E-2,1.641578897E0,1.703270239E0
1.341978750E-1,1.458207437E0,6.273309566E-1,3.583390099E-1,1.627365940E0
1.441898750E-1,3.254015272E0,1.764544527E0,-1.104001678E0,3.862777819E0
1.541808750E-1,3.121567359E0,2.149446999E0,-2.137387701E0,4.351175860E0
1.641728750E-1,2.370413425E0,1.574091211E0,-2.625476426E0,3.871659775E0
1.741638750E-1,1.346614788E0,1.161554798E0,-1.365673349E0,2.242240984E0
1.841558750E-1,7.407449401E-1,7.041265328E-1,5.353687263E-1,1.153740401E0
1.941468750E-1,3.271712308E-1,-6.277190655E-2,7.942483521E-1,8.612849536E-1
2.041388750E-1,2.884201247E-1,-5.908133407E-1,1.349157304E0,1.500823774E0
2.141298750E-1,-7.173867023E-1,-3.630936733E-1,1.988683652E0,2.145074209E0
2.241218750E-1,-1.260367042E0,-2.868405725E-1,2.284523528E0,2.624852442E0
2.341128750E-1,-1.643346657E0,-6.261254069E-1,2.004298056E0,2.666426815E0
2.441048750E-1,-1.634353200E0,-7.491749440E-1,1.354740810E0,2.251154402E0
2.540968750E-1,-1.376483681E0,-5.257519569E-1,3.375919193E-1,1.511651662E0
2.640886250E-1,-1.249495460E0,-1.075310268E-1,2.162195098E-1,1.272616479E0
2.740806250E-1,-1.194172760E0,4.860731900E-2,4.599536777E-1,1.280612602E0
2.840716250E-1,-1.492970742E0,-6.141432926E-2,8.623578894E-1,1.725223025E0
2.940636250E-1,-2.268022100E0,-2.739502394E-1,2.378251471E0,3.297734531E0
3.040546250E-1,-3.398599665E0,-7.614795323E-1,4.317258933E0,5.546986160E0
3.140466250E-1,-4.998101707E0,-1.532723622E0,4.682409949E0,7.018206701E0
3.240376250E-1,-7.509979012E0,-3.227682921E0,6.016114815E0,1.014945118E1
3.340296250E-1,-1.206835958E1,-3.285093808E0,5.721837900E0,1.375414749E1
3.440206250E-1,-5.540270745E0,-2.313965574E0,-1.579296110E0,6.208318033E0
3.540126250E-1,-3.210415508E0,-2.214554868E0,-2.120957610E0,4.439536258E0
3.640036250E-1,-2.431502941E0,7.647908105E-1,-4.798012326E0,5.433050139E0
3.739956250E-1,1.875610195E0,4.543309658E0,-7.063817747E0,8.605643347E0
3.839866250E-1,8.365079337E0,6.445859438E0,-4.473141024E0,1.146876832E1
3.939786250E-1,9.190083459E0,5.065262825E0,-2.814083045E0,1.086432625E1
4.039696250E-1,7.413191805E0,9.317554222E-1,-8.245735912E0,1.112725221E1
4.139616250E-1,7.436298248E0,-1.167980303E0,-7.857174398E0,1.088107987E1
4.239526250E-1,6.244888882E0,-2.769690984E0,-5.894189259E0,9.022820641E0
4.339446250E-1,3.955959770E0,-2.998383189E0,-3.871680050E0,6.295222463E0
4.439356250E-1,1.132267995E0,-1.812619749E0,-1.302631009E0,2.502892070E0
4.539276250E-1,-1.483183672E0,-1.177675718E0,3.158430253E0,3.682721217E0
4.639186250E-1,-1.749705024E0,-7.459809025E-1,2.622281508E0,3.239493091E0
4.739106250E-1,-9.192717630E-1,8.018105561E-1,2.138843073E0,2.462236876E0
