"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.413250000E-3,-9.775638252E-2,1.135619912E-1,7.561946726E-1,7.708975412E-1
8.577749999E-3,-1.397934777E-1,7.785158336E-2,-3.970428997E-1,4.280725986E-1
1.856875000E-2,-2.695958179E-1,-1.057410479E-2,-1.208276829E0,1.238033364E0
2.855975000E-2,-3.181174752E-1,2.279171571E-1,-1.595934947E0,1.643214324E0
3.855075000E-2,-4.766232124E-1,1.844907635E-1,-1.287950989E0,1.385649407E0
4.854175000E-2,-4.409145588E-1,2.465665591E-1,-3.136855781E-1,5.946422102E-1
5.853275000E-2,-1.020818603E-1,6.029543531E-1,1.027038871E0,1.195317322E0
6.852275000E-2,-7.533099487E-2,2.590971422E-1,1.742228774E0,1.762999487E0
7.851375000E-2,2.474224453E-1,-2.729094350E-1,1.316398863E0,1.366968687E0
8.850475000E-2,4.273988660E-1,6.799069270E-1,1.732807156E0,1.909859644E0
9.849575000E-2,3.673697421E-1,2.362783831E-1,1.504541212E0,1.566662778E0
1.084867500E-1,6.578971303E-1,-5.671419114E-1,4.872554970E-1,9.959400087E-1
1.184777500E-1,1.000682108E0,-1.660254904E0,-1.074612402E0,2.216439226E0
1.284677500E-1,1.281915054E0,-1.143565693E0,-1.921811385E0,2.577674863E0
1.384587500E-1,1.712607365E0,-4.862149850E-1,-2.209348800E0,2.837366933E0
1.484497500E-1,1.755565689E0,-2.249698681E-1,-2.594917123E0,3.141053518E0
1.584407500E-1,8.948172453E-1,3.031430483E-2,-1.818201063E0,2.026689903E0
1.684317500E-1,-2.724298172E-1,-1.051010701E-1,-7.729948926E-1,8.263082622E-1
1.784227500E-1,-2.621955818E-1,-7.444631115E-1,-1.796233658E0,1.961995719E0
1.884137500E-1,3.467749715E-2,-6.613440639E-1,-1.321459043E-1,6.753081072E-1
1.984037500E-1,-7.654625094E-1,-5.814556029E-1,2.101156014E0,2.310601668E0
2.083947500E-1,1.175428633E0,-6.379861915E-1,1.295918405E0,1.862273708E0
2.183857500E-1,2.322868398E0,-9.158292148E-1,7.046362638E-1,2.594411882E0
2.283767500E-1,1.278707857E0,-1.525992015E0,2.816562849E-1,2.010740082E0
2.383677500E-1,4.973559042E-1,-1.660721804E0,6.065316796E-3,1.733607970E0
2.483587500E-1,-2.583877288E-1,-1.623230627E0,-1.197363585E-1,1.648022658E0
2.583497500E-1,-1.095239917E0,-1.382391708E0,-2.799892437E-1,1.785763503E0
2.683397500E-1,-2.714774519E0,-9.773673588E-1,1.832584044E0,3.418129887E0
2.783307500E-1,-2.741307430E0,-2.785408884E-1,6.966173923E-1,2.842116683E0
2.883217500E-1,-1.759418273E0,-5.533927685E-1,-2.886770368E-1,1.866850462E0
2.983127500E-1,-6.820592871E-1,-7.213075528E-1,6.236470646E-1,1.172358784E0
3.083035833E-1,1.248806658E0,-5.306047073E-1,-3.049644560E-1,1.390705843E0
3.182945833E-1,3.176836995E0,6.697546989E-2,-5.401312834E-1,3.223122835E0
3.282845833E-1,3.790796100E0,5.047588447E-1,-7.312562978E-1,3.893539821E0
3.382755833E-1,2.755244561E0,5.265806535E-1,-1.329687830E0,3.104308216E0
3.482665833E-1,1.190812365E0,5.549393570E-1,-1.552348632E0,2.033661244E0
3.582575833E-1,3.439737166E-1,3.263980097E-1,-1.648449376E0,1.715295579E0
3.682485833E-1,8.540485574E-1,-1.408339897E-1,-2.705082759E0,2.840194691E0
3.782395833E-1,8.766527237E-1,-8.049674678E-1,-3.584908621E0,3.777308889E0
3.882305833E-1,1.222051992E0,-1.651508639E0,-4.350078769E0,4.810829154E0
3.982205833E-1,7.387587141E-1,-2.080160417E0,-4.681880191E0,5.176179471E0
4.082115833E-1,-7.422747910E-2,-2.313755805E0,-4.173293467E0,4.772353089E0
4.182025833E-1,-8.830032384E-1,-2.700963103E0,-4.460427423E0,5.288696361E0
4.281935833E-1,-1.114927200E0,-2.926712113E0,-4.841410360E0,5.766104468E0
4.381845833E-1,-1.015745266E0,-2.691082478E0,-4.284134456E0,5.160181333E0
4.481755833E-1,-8.432673150E-1,-2.389686578E0,-3.620973077E0,4.419632081E0
4.581665833E-1,-6.869560379E-1,-2.100490016E0,-3.463633275E0,4.108615627E0
4.681565833E-1,-6.682221437E-1,-2.413213727E0,-3.181154872E0,4.048440150E0
4.781475833E-1,-1.353533944E0,-3.659847121E0,-3.009472434E0,4.927825019E0
4.881385833E-1,-2.408207341E0,-5.144320689E0,-2.906911102E0,6.380723322E0
4.981295833E-1,-3.689712360E0,-6.315395193E0,-2.643509824E0,7.777296313E0
5.081205833E-1,-4.903861547E0,-6.646910686E0,-2.485095888E0,8.625832210E0
5.181115833E-1,-5.378703990E0,-6.382270383E0,-2.287430179E0,8.654257257E0
5.281015833E-1,-4.800593871E0,-6.105328708E0,-1.781220932E0,7.968280126E0
5.380925833E-1,-3.706510826E0,-6.129703996E0,-1.004466864E0,7.233287445E0
5.480835833E-1,-3.332642196E0,-5.883195909E0,-9.221702278E-2,6.762174361E0
5.580745833E-1,-1.729422203E0,-5.645342286E0,4.760531089E-1,5.923463281E0
5.680655833E-1,-1.428170729E-1,-5.513829051E0,8.687383711E-1,5.583673869E0
5.780565833E-1,8.090061396E-1,-5.056553982E0,1.567489997E0,5.355394850E0
5.880475833E-1,2.228317167E0,-3.953960899E0,2.388118063E0,5.128577977E0
5.980375833E-1,3.524544890E0,-2.408823053E0,3.468491142E0,5.500479614E0
6.080285833E-1,4.202030777E0,-1.185792238E0,4.496412942E0,6.267447266E0
6.180195833E-1,4.739464740E0,-1.025271842E0,4.870295606E0,6.872662342E0
6.280105833E-1,5.257581257E0,-1.418578956E0,6.461875547E0,8.450465224E0
6.380015833E-1,5.257543250E0,-1.615730988E0,7.208690116E0,9.067389968E0
6.479925833E-1,5.626828247E0,-1.689443035E0,7.838862673E0,9.796079925E0
6.579835833E-1,5.936424283E0,-1.964627037E0,8.451392426E0,1.051317871E1
6.679735833E-1,6.336099014E0,-2.139728342E0,9.050953056E0,1.125363671E1
6.779645833E-1,6.268018713E0,-1.669363697E0,9.009719660E0,1.110179635E1
6.879555833E-1,5.707381244E0,-9.918006259E-1,7.770027496E0,9.691810793E0
6.979465833E-1,5.170250167E0,-2.809189510E-1,6.533912659E0,8.336810954E0
7.079375833E-1,4.785527351E0,5.541254246E-1,5.931714935E0,7.641568496E0
7.179285833E-1,5.790338616E0,1.467353505E0,6.331509535E0,8.704548270E0
