"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.723166673E-3,5.646923666E-1,-6.264432031E-1,9.352796853E-2,8.485611566E-1
1.971416667E-2,5.765049116E-1,-3.215085679E-1,1.248257750E-1,6.717939762E-1
2.970516667E-2,6.843046179E-1,-5.040650725E-2,3.869687319E-1,7.877553082E-1
3.969616667E-2,6.988071746E-1,3.638400704E-2,5.087159479E-1,8.651284175E-1
4.968716667E-2,6.007473215E-1,-8.153357506E-3,4.710920388E-1,7.634733332E-1
5.967816667E-2,5.332605127E-1,-1.742022952E-1,4.186126935E-1,6.999641428E-1
6.966916667E-2,5.819213337E-1,-3.421606413E-1,1.776957142E-1,6.980559504E-1
7.966016667E-2,8.015760827E-1,-6.287867671E-1,-4.965888226E-1,1.133356728E0
8.965116667E-2,6.647591302E-1,-8.355557147E-1,-1.151770506E0,1.570551926E0
9.964216667E-2,-1.316980076E-1,-5.695636819E-1,-1.760362744E-1,6.105210258E-1
1.096331667E-1,-6.498940462E-1,-4.488540544E-1,1.185798377E0,1.424763147E0
1.196231667E-1,9.337126315E-2,-1.050569236E0,1.939837766E0,2.208027281E0
1.296141667E-1,1.868202943E-1,-9.516021878E-1,2.701432343E0,2.870223902E0
1.402301667E-1,4.491272655E-1,-1.160028675E0,3.105790694E0,3.345641592E0
1.502211667E-1,3.601250419E-1,-1.363943743E0,2.783949419E0,3.120962503E0
1.602121667E-1,3.901051784E-1,-1.342155555E0,2.538153523E0,2.897548428E0
1.702031667E-1,6.646983191E-1,-7.310544227E-1,2.514533696E0,2.701692827E0
1.801931667E-1,6.934660354E-1,-2.011217067E-1,2.333282874E0,2.442448373E0
1.901841667E-1,1.390062670E0,-2.443832088E-1,1.065416486E0,1.768363557E0
2.001751667E-1,2.067464358E0,-7.106932484E-2,-1.121051574E-1,2.071720851E0
2.101661667E-1,2.328153697E0,-2.593847521E-1,-9.662365991E-1,2.534007350E0
2.201571667E-1,2.301690368E0,-3.232130313E-1,-2.859645134E-1,2.341798650E0
2.301481667E-1,2.583487571E0,-4.876595396E-1,1.055089134E-1,2.631226327E0
2.401391667E-1,2.795108830E0,-1.149307366E0,-7.318106139E-1,3.109515649E0
2.501301667E-1,3.492413855E0,-1.450658535E0,-5.694317980E0,6.835687381E0
2.601211667E-1,3.439628116E0,2.179388836E-2,-8.225305740E0,8.915557810E0
2.701121667E-1,3.019860890E0,4.704475294E-1,-5.244247851E0,6.069844824E0
2.801031667E-1,2.379746312E0,3.379996164E-1,-4.366725792E0,4.984549167E0
2.900941667E-1,9.578066683E-1,8.254093337E-1,-5.289818126E0,5.438829836E0
3.000851667E-1,-1.057716580E0,1.277315342E0,-6.257687268E0,6.473712134E0
3.100751667E-1,-3.664985070E0,1.947128513E0,-1.693232031E0,4.482238249E0
3.200661667E-1,-4.146553857E0,1.417259824E0,3.127734125E0,5.383795599E0
3.300571667E-1,-2.601251412E0,-5.573723835E-1,-2.565875173E-1,2.672641023E0
3.400481667E-1,-1.180460162E0,-1.932788363E0,6.378306556E-1,2.352867399E0
3.500391667E-1,6.982038881E-1,-2.690343098E0,-3.328235149E-1,2.799322444E0
3.600301667E-1,1.950431752E0,-2.925498816E0,2.792027932E-1,3.527135033E0
3.700219583E-1,3.004630939E0,-2.477436621E0,9.598122633E-1,4.010827704E0
3.800129583E-1,3.667823893E0,-1.569607859E0,6.797575307E-1,4.047057108E0
3.900039583E-1,2.469133282E0,-8.786394614E-1,-2.103991914E-1,2.629238347E0
3.999949583E-1,1.097680253E0,-4.478552037E-1,-1.246251571E0,1.720063719E0
4.099859583E-1,1.664288606E0,-9.354629955E-1,-2.699026798E0,3.306008656E0
4.199769583E-1,2.186058316E0,-1.645210018E0,-3.318678460E0,4.301068901E0
4.299679583E-1,1.957632598E0,-2.221080068E0,-3.182476927E0,4.346686261E0
4.399579583E-1,2.077913917E0,-2.592110752E0,-2.646624636E0,4.247515316E0
4.499489583E-1,2.508955452E0,-2.849854849E0,-1.988333403E0,4.286023780E0
4.599399583E-1,2.865236827E0,-3.133351252E0,-1.456102293E0,4.488619613E0
4.699309583E-1,3.109180617E0,-2.913725447E0,-1.631697103E0,4.562810047E0
4.799219583E-1,3.089015617E0,-2.494563408E0,-2.267998127E0,4.572600964E0
4.899129583E-1,2.448721091E0,-2.360708362E0,-3.675728744E0,5.008009659E0
4.999039583E-1,1.634126182E0,-2.427981455E0,-5.200160429E0,5.967171090E0
5.098949583E-1,1.172968709E0,-2.977017756E0,-5.870437285E0,6.685845064E0
5.198859583E-1,1.377694493E0,-3.505331524E0,-5.111219602E0,6.349012287E0
5.298769583E-1,1.978402200E0,-3.664754982E0,-3.453854976E0,5.410510007E0
5.398679583E-1,2.058762239E0,-3.957625642E0,-2.208351849E0,4.977762606E0
5.498579583E-1,1.615148021E0,-4.551708014E0,-1.713603730E0,5.124762114E0
5.598489583E-1,5.970758548E-1,-5.182055111E0,-1.933447929E0,5.563130022E0
5.698399583E-1,-8.238858417E-1,-5.999670106E0,-2.426102160E0,6.523863959E0
5.798309583E-1,-1.715851692E0,-6.570703340E0,-2.435949456E0,7.214716845E0
5.898219583E-1,-2.246471018E0,-6.509754303E0,-1.705079075E0,7.094422299E0
5.998129583E-1,-2.833262497E0,-6.384140908E0,-8.172922289E-1,7.032254126E0
6.098039583E-1,1.244092194E0,-4.525262520E-1,-6.990059799E-1,1.497048682E0
6.197949583E-1,-8.217273420E-1,-6.207294209E0,1.228056790E0,6.380741391E0
6.297859583E-1,-1.674188234E0,-5.935287584E0,4.852723553E0,7.847258810E0
6.397769583E-1,-1.802383175E0,-6.356302314E0,7.169348295E0,9.749395837E0
6.497679583E-1,-6.737389916E-1,-6.134739034E0,9.672287546E0,1.147353884E1
6.597589583E-1,-1.811525881E-1,-5.376158697E0,1.086418515E1,1.212297066E1
6.697499583E-1,-2.761008453E-1,-4.813119192E0,1.030840497E1,1.138005101E1
6.797399583E-1,1.031133091E-1,-3.884043403E0,8.766659676E0,9.589095233E0
6.897309583E-1,5.396407020E-1,-2.554437434E0,6.915413074E0,7.391840142E0
6.997219583E-1,1.152769210E0,-1.174711179E0,5.165467730E0,5.421335635E0
7.097129583E-1,1.970902854E0,4.584415877E-1,4.514785771E0,4.947516277E0
7.197039583E-1,2.470600056E0,1.673435113E0,4.778630268E0,5.633787088E0
7.296949583E-1,2.554914567E0,2.171858499E0,5.816323643E0,6.713730595E0
