"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.187500017E-4,-2.833732467E-1,2.873427022E-1,-2.806605041E-2,4.045416278E-1
1.040975000E-2,-4.500875976E-1,1.977235973E-2,-3.539424884E-1,5.729267639E-1
2.040075000E-2,-5.360655682E-1,-2.404389694E-1,-6.321997869E-1,8.630491075E-1
3.039075000E-2,-8.325661795E-1,-2.530718789E-1,-7.349493992E-1,1.139018191E0
4.038175000E-2,-1.183791028E0,-1.311670804E-1,-4.741448700E-1,1.281943587E0
5.037275000E-2,-1.534552778E0,-7.072207332E-3,6.717690647E-2,1.536038730E0
6.036375000E-2,-1.828616562E0,1.041611302E-1,8.295924318E-1,2.010699300E0
7.035375000E-2,-2.018360464E0,1.490996137E-1,1.783215417E0,2.697381486E0
8.034475000E-2,-2.132812986E0,-1.499723107E-2,3.058405443E0,3.728667323E0
9.033575000E-2,-1.518235245E0,-4.546321267E-1,3.746999286E0,4.068382022E0
1.003257500E-1,-5.249495727E-1,-8.421873343E-1,3.699180171E0,3.829985052E0
1.103167500E-1,4.903115442E-1,-9.653467990E-1,3.157088901E0,3.337590476E0
1.203077500E-1,1.502586780E0,-1.346254453E0,2.031465390E0,2.863043785E0
1.302987500E-1,6.924725935E-1,-8.988092856E-1,1.409059104E0,1.809094797E0
1.402887500E-1,-1.462026107E-1,-2.081389502E-1,9.174895316E-1,9.520945681E-1
1.502797500E-1,-7.362963054E-1,-1.785480921E-1,9.147828555E-1,1.187787583E0
1.602707500E-1,-1.092050261E0,-5.946653402E-1,5.410516351E-1,1.356074302E0
1.702607500E-1,-1.219539151E0,-1.067723798E0,8.866834760E-2,1.623321263E0
1.802517500E-1,-1.308429692E0,-1.259250077E0,-3.974030882E-1,1.858932014E0
1.902427500E-1,-1.309871031E0,-1.074116266E0,-6.452180278E-1,1.812675971E0
2.002337500E-1,-1.120109587E0,-7.766301066E-1,-9.231332642E-1,1.646200120E0
2.102237500E-1,-8.474685395E-1,-6.554170337E-1,-1.625251132E0,1.946590778E0
2.202147500E-1,-1.290601532E0,-1.290647725E0,-2.176372257E0,2.840426036E0
2.302056250E-1,-1.938326846E0,-1.805953777E0,-2.611705064E0,3.720159049E0
2.401956250E-1,-2.020931631E0,-1.244801607E0,-2.215729866E0,3.247022411E0
2.501866250E-1,-1.544825312E0,-4.796804291E-1,-1.029025755E0,1.917152201E0
2.601776250E-1,-6.568797147E-1,-7.130182475E-2,-2.717166030E-1,7.144262189E-1
2.701686250E-1,8.339009526E-1,-9.602737547E-1,-1.864837285E0,2.257240480E0
2.801586250E-1,1.417675561E0,-1.331864894E0,-2.166551274E0,2.911633994E0
2.901496250E-1,1.965626619E0,-1.200113385E0,-3.184442176E0,3.929965918E0
3.001406250E-1,1.998111995E0,-1.102553468E0,-4.232227553E0,4.808307993E0
3.101306250E-1,1.185111037E0,-6.672962371E-1,-4.944061739E0,5.127720636E0
3.201216250E-1,-5.297621235E-2,-2.174754918E-2,-4.541638232E0,4.541999258E0
3.301126250E-1,-2.630499769E0,5.362349913E-2,7.125715202E-1,2.725832476E0
3.401036250E-1,-3.390527000E0,-2.286044973E-1,-5.227697307E-1,3.438200335E0
3.500936250E-1,-4.082054975E0,-1.442810549E0,-8.938404679E-2,4.330457783E0
