"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.097374996E-3,-5.625284582E-2,6.934832847E-1,-1.045119047E0,1.255530673E0
1.308837500E-2,1.678446177E-1,6.231418651E-1,-1.778190905E0,1.891676636E0
2.307937500E-2,4.322755900E-1,4.818082309E-1,-2.078668208E0,2.177122613E0
3.307037500E-2,8.428933856E-1,3.906799597E-1,-2.096526774E0,2.293147314E0
4.306137500E-2,1.045939996E0,4.899650967E-1,-1.967485156E0,2.281458768E0
5.305237500E-2,9.618947491E-1,6.375426802E-1,-1.719635133E0,2.070953203E0
6.304337500E-2,1.325477250E0,4.380695960E-1,-1.468874951E0,2.026422595E0
7.303437500E-2,1.280879074E0,5.723693222E-1,-4.978769642E-1,1.488670318E0
8.302537500E-2,5.390925255E-1,1.055079778E0,8.063661218E-1,1.433192385E0
9.301637500E-2,-2.271122879E-1,1.309067331E0,1.471298037E0,1.982411457E0
1.030073750E-1,-4.232091898E-1,9.919526535E-1,1.644583197E0,1.966654514E0
1.129983750E-1,-3.749848634E-1,3.605612442E-1,1.623874698E0,1.705164829E0
1.229893750E-1,-2.250657624E-1,-2.994480465E-1,1.782956970E0,1.821883445E0
1.329803750E-1,1.859937319E0,-6.493002614E-1,8.062246192E-1,2.128604189E0
1.429713750E-1,1.560051754E0,-1.447391988E0,1.537171599E0,2.625186007E0
1.529623750E-1,9.900113779E-1,-1.457430634E0,2.249010463E0,2.856969486E0
1.629533750E-1,4.012985033E-1,-1.081745494E0,2.685851852E0,2.923185586E0
1.729443750E-1,-4.356655133E-1,-3.391779765E-1,3.677396954E0,3.718614594E0
1.829353750E-1,-1.070600043E0,1.744972325E-1,3.964595230E0,4.110310095E0
1.929263750E-1,-1.483152682E0,3.148190609E-1,3.625053264E0,3.929359247E0
2.029173750E-1,-1.100467036E0,9.826236768E-2,1.988653831E0,2.274956538E0
2.129083750E-1,-7.950353873E-1,-5.096458013E-1,1.318851185E-1,9.535270286E-1
2.228993750E-1,-6.641764551E-1,-8.685882439E-1,-9.376197410E-1,1.440384212E0
2.328903750E-1,-2.299739152E-1,-8.636005689E-1,-1.837550084E0,2.043351232E0
2.428813750E-1,-8.668497205E-2,-6.262445439E-1,-2.197868961E0,2.286990267E0
2.528723750E-1,6.541163206E-2,-4.429481473E-1,-2.562049339E0,2.600880343E0
2.628633750E-1,-2.629030949E-1,-3.030487619E-1,-2.725375521E0,2.754746508E0
2.728543750E-1,-3.779318601E-1,4.630975793E-1,-1.203506670E0,1.343770875E0
2.828453750E-1,4.221680930E-1,4.258901381E-1,-2.135262823E0,2.217871870E0
2.928363750E-1,1.353800870E0,-1.331742834E-1,-6.036239762E0,6.187624961E0
3.028283750E-1,1.372970089E0,1.537811869E-1,-6.517880763E0,6.662692035E0
3.128183750E-1,5.778898247E-1,-2.403616400E-1,-2.279430018E0,2.363796010E0
3.228103750E-1,-1.882070930E0,-2.168700126E0,-4.489843011E-1,2.906378868E0
3.328013750E-1,-1.136876478E1,-3.057018483E0,3.472047418E-1,1.177772159E1
3.427923750E-1,-1.164651220E1,-3.276708608E0,8.666982776E-1,1.212968391E1
3.527833750E-1,-2.404292631E0,-3.795559242E0,-7.580511636E-1,4.556482699E0
3.627743750E-1,6.276611781E-1,-2.773514478E0,-2.036422074E0,3.497621475E0
3.727653750E-1,6.677333164E-1,-1.720965959E0,-2.499997517E0,3.107664590E0
3.827563750E-1,2.586643606E0,-2.196717352E0,-2.874249140E0,4.447201410E0
3.927473750E-1,5.980191277E0,-8.879170192E-1,-2.433572563E0,6.517158872E0
4.027383750E-1,6.724916051E0,1.563292573E-1,-3.065385264E-1,6.733713730E0
4.127293750E-1,3.712248698E0,1.242077974E-1,2.351152550E0,4.395922689E0
4.227203750E-1,1.091180049E0,1.225751817E-1,3.948317167E0,4.098158980E0
4.327113750E-1,5.665644988E-2,-1.140397087E-2,3.096191320E0,3.096730646E0
4.427023750E-1,3.644180676E-1,-2.034261528E0,7.749876237E-1,2.207176094E0
4.526933750E-1,2.408617231E-1,-4.167733349E0,-1.478550923E0,4.428784085E0
4.626843750E-1,-1.576564291E-1,-4.634004066E0,-2.104916359E0,5.092103898E0
4.726753750E-1,-5.982645938E-1,-4.099006346E0,-2.570003307E0,4.874904158E0
4.826663750E-1,-6.520858750E-1,-3.026083204E0,-2.798848125E0,4.173241710E0
4.926573750E-1,-5.821748105E-1,-2.347554758E0,-2.945105699E0,3.810982607E0
5.026483750E-1,-9.764610404E-1,-2.612185998E0,-3.535435329E0,4.502920698E0
5.126392083E-1,-2.215990067E0,-3.351967536E0,-3.478850069E0,5.314950248E0
5.226302083E-1,-3.418238416E0,-4.489925457E0,-3.669175769E0,6.731020376E0
5.326212083E-1,-3.160513616E0,-6.171682327E0,-4.068050601E0,8.039125870E0
5.426122083E-1,-2.349207181E0,-7.742534473E0,-3.496425630E0,8.814227512E0
5.526032083E-1,-1.756228178E0,-8.839191463E0,-2.778250723E0,9.430499468E0
5.625942083E-1,-1.757102922E0,-9.661870147E0,-2.207843142E0,1.006547151E1
5.725852083E-1,-1.967938315E0,-9.758284301E0,-2.677389176E0,1.030850651E1
5.825762083E-1,-1.693906800E0,-9.939818712E0,-3.232192293E0,1.058850241E1
5.925672083E-1,-1.057867146E0,-1.083703185E1,-3.761788648E0,1.152004324E1
6.025582083E-1,4.825753856E-1,-1.114452055E1,-3.644922980E0,1.173536028E1
6.125492083E-1,2.238320584E0,-1.141638451E1,-2.004604450E0,1.180518332E1
6.225402083E-1,3.508981356E0,-1.097953084E1,-7.953186849E-1,1.155402871E1
6.325312083E-1,4.286213726E0,-9.620611609E0,1.288317025E-1,1.053301445E1
6.425222083E-1,4.389791304E0,-8.481696206E0,3.269394618E-1,9.555957704E0
6.525132083E-1,6.233942310E0,-6.770207999E0,-1.002547224E0,9.257583594E0
6.625042083E-1,8.236339436E0,-5.795809271E0,-1.225591896E0,1.014548017E1
6.724952083E-1,9.379399930E0,-4.520683273E0,-1.745838261E-1,1.041346243E1
6.824862083E-1,1.058450815E1,-2.968937488E0,4.535556543E-1,1.100236863E1
6.924772083E-1,1.074236426E1,-2.579245124E0,4.394673729E-1,1.105640208E1
7.024682083E-1,1.091643237E1,-2.229597123E0,3.732020473E-1,1.114804372E1
7.124592083E-1,1.065979222E1,-1.526621760E0,-1.565004930E0,1.088168115E1
7.224502083E-1,9.598074101E0,-4.800833023E-1,-1.693510651E0,9.758149658E0
7.324412083E-1,9.263268380E0,-8.851982832E-2,-1.424600126E0,9.372591016E0
7.424322083E-1,1.166480814E1,1.053630254E0,-4.126818627E0,1.241807222E1
7.524232083E-1,1.653877346E1,4.868330941E0,-9.091391230E0,1.949064053E1
7.624142083E-1,1.248203722E1,5.422286797E0,-1.219299707E0,1.366342340E1
7.724052083E-1,1.108995317E1,2.466851406E0,-4.331240210E-1,1.136925739E1
7.823962083E-1,1.234294132E1,2.064704472E-1,5.405487746E-2,1.234478644E1
7.923872083E-1,1.371783689E1,2.188157321E0,-2.473307902E0,1.410972478E1
8.023782083E-1,1.226366126E1,4.589031669E0,-2.542120567E0,1.333862722E1
8.123692083E-1,1.190066962E1,4.978646851E0,-4.935193852E0,1.381191515E1
8.223602083E-1,1.220869392E1,6.055235612E0,-8.155163711E0,1.588158622E1
8.323512083E-1,8.703069452E0,7.529935559E0,-5.889726080E0,1.292796274E1
8.423432083E-1,5.241323658E0,7.480535942E0,-5.261698866E0,1.054112739E1
8.523342083E-1,2.341694094E0,5.925875906E0,-3.605359842E0,7.321076155E0
8.623252083E-1,1.528098475E0,4.441809304E0,-3.593985838E0,5.914515115E0
8.723162083E-1,5.327526820E-1,4.026763412E0,-3.577774433E0,5.412866051E0
8.823072083E-1,5.086574757E-1,4.789667764E0,-3.509419312E0,5.959502801E0
8.922982083E-1,-2.479201895E-1,6.657763118E0,-3.687715536E0,7.614888051E0
9.022892083E-1,4.562406957E-2,8.491554027E0,-5.567978945E0,1.015435674E1
9.122802083E-1,1.420440710E0,9.440168872E0,-8.035167736E0,1.247791492E1
9.222712083E-1,2.378236853E0,1.097115412E1,-8.954347697E0,1.435975543E1
9.322622083E-1,2.864323491E0,9.863103243E0,-7.923667765E0,1.297187980E1
9.422532083E-1,1.954975038E0,6.822751079E0,-7.134947956E0,1.006376381E1
9.522442083E-1,1.215902182E0,3.624923164E0,-6.587243358E0,7.616446752E0
9.622352083E-1,1.143439978E0,6.740024087E-1,-5.401869489E0,5.562546917E0
9.722262083E-1,3.116741359E-2,-2.315520495E0,-3.788413652E0,4.440122135E0
9.822172083E-1,-2.298354532E0,-5.363624606E0,-2.572379323E0,6.377149664E0
9.922082083E-1,-6.166606359E0,-5.608521785E0,-3.366456644E0,8.989748658E0
1.002199208E0,-8.909831091E0,-4.836582314E0,-2.107242966E-1,1.014011949E1
1.012190208E0,-9.135150622E0,-4.652399699E0,-1.031809030E0,1.030341835E1
1.022181208E0,-9.662063690E0,-4.586767335E0,-3.898548006E0,1.138387394E1
1.032172208E0,-9.552267598E0,-3.549446135E0,-9.991809815E0,1.427167291E1
1.042163208E0,-4.414672376E0,-4.144052418E0,5.651411111E0,8.282569057E0
1.052154208E0,-5.650585485E-1,-3.147576066E0,8.284153873E0,8.879962367E0
1.062145208E0,3.386561126E-1,-2.515384173E0,5.275056245E0,5.853893054E0
1.072136208E0,-5.611233723E-1,-5.937993675E-2,3.219837419E0,3.268904774E0
1.082127208E0,-1.044134960E0,1.577524112E0,-7.953599077E-1,2.052168980E0
1.092118208E0,-5.748011792E-1,3.088099943E0,-2.349189055E0,3.922428695E0
1.102109208E0,3.419901949E-1,4.592626829E0,-1.998051476E0,5.020098424E0
1.112100208E0,1.216167061E0,4.639635812E0,-1.239590423E0,4.953974889E0
1.122091208E0,3.907261527E-1,3.172755054E0,1.514301969E0,3.537252043E0
1.132082208E0,1.856555289E-1,1.518163471E0,1.523679149E-1,1.537044007E0
1.142073208E0,5.862517816E-1,-7.076300383E-2,-1.558009322E0,1.666160737E0
1.152064208E0,1.846773482E0,-9.814393598E-1,-3.530771005E-1,2.120957083E0
1.162055208E0,2.953399390E0,-1.244381046E0,1.842428270E0,3.696700431E0
1.172046208E0,2.592102274E0,-1.144352728E0,8.905685122E-1,2.970126199E0
1.182037208E0,1.804686978E0,-1.955079411E0,1.625809103E0,3.118090093E0
1.192028208E0,1.947221045E0,-2.545361678E0,2.272845322E0,3.928913556E0
1.202019208E0,3.687421421E0,-1.990288420E0,3.556092957E0,5.495827677E0
1.212010208E0,5.687089652E0,7.024494052E-2,4.435911802E0,7.212852180E0
1.222001208E0,7.062205085E0,2.490117770E0,3.137628783E0,8.119121969E0
1.231992208E0,6.665337017E0,3.508816465E0,1.179853367E0,7.624340266E0
1.241983208E0,5.128462456E0,3.792345905E0,7.196099599E-1,6.418789070E0
1.251974208E0,3.030328867E0,3.702547875E0,-1.617586456E0,5.050578161E0
1.261965208E0,8.445694900E-1,3.622046919E0,-2.964048339E0,4.755849457E0
1.271956208E0,6.092857182E-2,3.455093709E0,-3.399732563E0,4.847635128E0
