"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.339644000E-3,-3.652950287E0,3.895050287E0,5.895000458E0,7.954023695E0
8.838021000E-3,-3.708000183E0,3.949950218E0,5.695950508E0,7.860993848E0
1.133740400E-2,-3.802050114E0,3.997950077E0,5.575950146E0,7.844132196E0
1.383686600E-2,-3.921000242E0,4.045950413E0,5.566050053E0,7.919903461E0
1.633617500E-2,-4.069950104E0,4.052999973E0,5.679000378E0,8.077273545E0
1.883563500E-2,-4.194000244E0,4.117949963E0,5.895000458E0,8.324552861E0
2.133494500E-2,-4.342950344E0,4.164000034E0,6.165000439E0,8.614368484E0
2.383440400E-2,-4.394999981E0,4.207050323E0,6.421050072E0,8.845630632E0
2.633379100E-2,-4.417050362E0,4.234950066E0,6.640950203E0,9.030357443E0
2.883317500E-2,-4.354950428E0,4.267050266E0,6.835050106E0,9.159215095E0
3.133256000E-2,-4.300050259E0,4.288050175E0,7.024950504E0,9.285889086E0
3.383195500E-2,-4.182000160E0,4.270950317E0,7.177950382E0,9.340937514E0
3.633156800E-2,-4.041000366E0,4.243050098E0,7.341000557E0,9.392733749E0
3.883095500E-2,-3.900000095E0,4.213950157E0,7.549050331E0,9.484489315E0
4.133010800E-2,-3.739050150E0,4.201950073E0,7.780950546E0,9.601045352E0
4.382947100E-2,-3.558000088E0,4.189949989E0,8.005949974E0,9.711348028E0
4.632885600E-2,-3.364050150E0,4.132050037E0,8.181000710E0,9.763167700E0
4.882847100E-2,-3.057000160E0,4.075050354E0,8.322000504E0,9.757406302E0
5.132785800E-2,-2.707950115E0,4.027050018E0,8.398950577E0,9.700128683E0
5.382724200E-2,-2.404050112E0,3.943050146E0,8.490000725E0,9.664740747E0
5.632662700E-2,-2.173950195E0,3.826050282E0,8.605050087E0,9.664968040E0
5.882601200E-2,-2.097000122E0,3.673050165E0,8.779950142E0,9.745574971E0
6.132539600E-2,-2.064000130E0,3.520050049E0,8.938050270E0,9.825456300E0
6.382478100E-2,-2.029950142E0,3.378000259E0,9.096000671E0,9.913062672E0
6.632415100E-2,-1.948950052E0,3.271050215E0,9.181950569E0,9.940140445E0
6.882353500E-2,-1.909950137E0,3.180000067E0,9.238950729E0,9.955828470E0
7.132299600E-2,-1.908000112E0,3.124050140E0,9.322950363E0,1.001586527E1
7.382238200E-2,-1.896000147E0,3.057000160E0,9.421050072E0,1.008445591E1
7.632176700E-2,-1.897950053E0,3.010050058E0,9.507000923E0,1.015114192E1
7.882115100E-2,-1.873950124E0,2.971050024E0,9.579000473E0,1.020274852E1
8.132053600E-2,-1.900950074E0,2.940000057E0,9.615000725E0,1.023256813E1
8.381992100E-2,-1.953000069E0,2.919000149E0,9.619950294E0,1.024100653E1
8.631930500E-2,-2.053950071E0,2.884950161E0,9.634050369E0,1.026433509E1
8.881867900E-2,-2.155050039E0,2.871000051E0,9.664950371E0,1.031009930E1
9.131806300E-2,-2.265000105E0,2.884950161E0,9.711000443E0,1.038059211E1
9.381767800E-2,-2.353049994E0,2.919000149E0,9.756000519E0,1.045164830E1
9.631706500E-2,-2.422950029E0,2.968950033E0,9.799050331E0,1.052172697E1
9.881643500E-2,-2.470950127E0,3.040950060E0,9.820950508E0,1.057374298E1
1.013158200E-1,-2.487000227E0,3.096000195E0,9.888000488E0,1.065565301E1
