"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.433033000E-3,-3.406050205E0,4.468950272E0,6.844950199E0,8.855847659E0
6.930574000E-3,-3.451050282E0,4.495050430E0,6.676950455E0,8.757676278E0
9.429036000E-3,-3.480000257E0,4.570050240E0,6.820950508E0,8.917461905E0
1.192757400E-2,-3.487050056E0,4.633950233E0,7.125000477E0,9.186873497E0
1.442605000E-2,-3.495000124E0,4.633950233E0,7.204050541E0,9.251316924E0
1.692451100E-2,-3.472950220E0,4.627050400E0,7.144050121E0,9.192846717E0
1.942320200E-2,-3.418050051E0,4.627050400E0,7.003050327E0,9.062856914E0
2.192166500E-2,-3.396000147E0,4.633950233E0,6.909000397E0,8.985577235E0
2.442020200E-2,-3.382050276E0,4.609950066E0,6.925950527E0,8.981018560E0
2.691865500E-2,-3.403950214E0,4.600950241E0,6.936000347E0,8.992425757E0
2.941734500E-2,-3.442050219E0,4.564949989E0,6.912000179E0,8.970073834E0
3.191580900E-2,-3.508950233E0,4.527000427E0,6.924000263E0,8.986002685E0
3.441427100E-2,-3.679050207E0,4.467000008E0,6.900000095E0,9.005526126E0
3.691280700E-2,-3.874950171E0,4.420950413E0,6.909000397E0,9.071622118E0
3.941126600E-2,-3.982950211E0,4.408950329E0,6.832950115E0,9.054940235E0
4.190972700E-2,-4.096050262E0,4.399950027E0,6.892050266E0,9.145356465E0
4.440841700E-2,-4.231950283E0,4.330049992E0,7.017000198E0,9.268064950E0
4.690688100E-2,-4.394999981E0,4.270050049E0,7.228050232E0,9.475972900E0
4.940541700E-2,-4.435050011E0,4.254000187E0,7.357050419E0,9.586051171E0
5.190388600E-2,-4.447050095E0,4.255949974E0,7.467000484E0,9.677058487E0
5.440257600E-2,-4.452000141E0,4.246050358E0,7.563000202E0,9.749267714E0
5.690104000E-2,-4.476000309E0,4.237050056E0,7.608000278E0,9.791263462E0
5.939957600E-2,-4.503000259E0,4.227000237E0,7.668000221E0,9.845951946E0
6.189797800E-2,-4.522050381E0,4.242000103E0,7.813950539E0,9.975035215E0
6.439651400E-2,-4.455000401E0,4.243950367E0,7.909950256E0,1.002125024E1
6.689497800E-2,-4.426050186E0,4.219950199E0,8.068050385E0,1.012380052E1
6.939366800E-2,-4.261050224E0,4.195950031E0,8.206950188E0,1.015463328E1
7.189213200E-2,-4.026000023E0,4.174950123E0,8.326950073E0,1.014775750E1
7.439067800E-2,-3.717000246E0,4.155000210E0,8.506050110E0,1.017020187E1
7.688914200E-2,-3.424950123E0,4.129050255E0,8.662050247E0,1.018874152E1
7.938760300E-2,-3.171000242E0,4.102950096E0,8.829000473E0,1.023917435E1
8.188629400E-2,-2.968050241E0,4.054950237E0,8.932050705E0,1.024858397E1
8.438474700E-2,-2.845950127E0,3.994950294E0,9.076050758E0,1.031667375E1
8.688328400E-2,-2.683050156E0,3.981000185E0,9.069000244E0,1.026128092E1
8.938174700E-2,-2.434050083E0,4.029000282E0,9.085950851E0,1.023288551E1
9.188043700E-2,-2.247000217E0,4.050000191E0,9.174000740E0,1.027685755E1
9.437890100E-2,-2.046000004E0,4.065000057E0,9.241050720E0,1.030084268E1
9.687734400E-2,-1.822950125E0,4.132050037E0,9.232050896E0,1.027753611E1
9.937588000E-2,-1.606050134E0,4.186950207E0,9.319950104E0,1.034269883E1
1.018743440E-1,-1.447950125E0,4.190999985E0,9.426000595E0,1.041683866E1
1.043728050E-1,-1.330050111E0,4.242000103E0,9.552000046E0,1.053585796E1
1.068714950E-1,-1.210950017E0,4.278000355E0,9.555000305E0,1.053877212E1
1.093699350E-1,-1.036050081E0,4.348950386E0,9.568950653E0,1.056179842E1
1.118684710E-1,-8.509500623E-1,4.411950111E0,9.402000427E0,1.042051015E1
1.143669350E-1,-7.219500542E-1,4.503000259E0,9.150000572E0,1.022353822E1
1.168656250E-1,-6.649500132E-1,4.572000027E0,8.887050629E0,1.001623740E1
1.193640890E-1,-7.390500307E-1,4.620000362E0,9.032999992E0,1.017279151E1
1.218625450E-1,-8.899500370E-1,4.596000195E0,9.246000290E0,1.036357806E1
1.243610070E-1,-1.108050108E0,4.552950382E0,9.475950241E0,1.057122345E1
1.268595430E-1,-1.306050062E0,4.498050213E0,9.619050026E0,1.069880114E1
1.293580070E-1,-1.500000119E0,4.450050354E0,9.760950089E0,1.083185557E1
1.318566970E-1,-1.620000124E0,4.443000317E0,9.897000313E0,1.096883163E1
1.343551610E-1,-1.693950057E0,4.402050018E0,9.943050385E0,1.100507892E1
