"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.768996000E-3,-3.049050093E0,4.783050060E0,8.338950157E0,1.008525478E1
1.026662600E-2,-3.034950256E0,4.821000099E0,8.346000671E0,1.010488457E1
1.276539600E-2,-3.031950235E0,4.849950314E0,8.362050056E0,1.013107208E1
1.526407900E-2,-3.067950249E0,4.867050171E0,8.370000839E0,1.015664365E1
1.776284600E-2,-3.088050127E0,4.867050171E0,8.350950241E0,1.014704888E1
2.026138700E-2,-3.223950148E0,4.861950397E0,8.299950600E0,1.014502815E1
2.276007700E-2,-3.246000051E0,4.857000351E0,8.275950432E0,1.013007030E1
2.525884200E-2,-3.181050062E0,4.882950306E0,8.307000160E0,1.014734127E1
2.775761100E-2,-3.159000158E0,4.869000435E0,8.287950516E0,1.011813080E1
3.025615200E-2,-3.159000158E0,4.876049995E0,8.307000160E0,1.013712963E1
3.275491900E-2,-3.111000061E0,4.861950397E0,8.346000671E0,1.014754208E1
3.525361300E-2,-3.193050146E0,4.849950314E0,8.329050064E0,1.015335719E1
3.775238000E-2,-3.430050135E0,4.801950455E0,8.298000336E0,1.018237603E1
4.025092000E-2,-3.540000200E0,4.797000408E0,8.281050682E0,1.020385294E1
4.274968700E-2,-3.526050091E0,4.845000267E0,8.272050858E0,1.021439583E1
4.524838200E-2,-3.487050056E0,4.888050079E0,8.233050346E0,1.018997889E1
4.774716300E-2,-3.478050232E0,4.933950424E0,8.157000542E0,1.014777601E1
5.024570300E-2,-3.432000160E0,4.972050190E0,8.118000031E0,1.011937907E1
5.274439400E-2,-3.427950144E0,4.969950199E0,8.077950478E0,1.008486644E1
5.524316300E-2,-3.420000076E0,4.945950031E0,7.944000244E0,9.963230506E0
5.774170300E-2,-3.436950207E0,4.921950340E0,7.852950573E0,9.884687885E0
6.024048100E-2,-3.451050282E0,4.906949997E0,7.759050369E0,9.807689277E0
6.273917500E-2,-3.439950228E0,4.921950340E0,7.750050545E0,9.804189725E0
6.523794200E-2,-3.376950264E0,4.929000378E0,7.738050461E0,9.776311306E0
6.773648300E-2,-3.349050045E0,4.933950424E0,7.723050594E0,9.757331268E0
7.023525000E-2,-3.322050095E0,4.984050274E0,7.735050201E0,9.783035091E0
7.273401900E-2,-3.286050081E0,4.984050274E0,7.788000584E0,9.812840331E0
7.523271300E-2,-3.279000044E0,4.981050014E0,7.816950321E0,9.831958750E0
7.773148100E-2,-3.298050165E0,4.993050098E0,7.824000359E0,9.850008416E0
8.023003100E-2,-3.291000128E0,4.989000320E0,7.819050312E0,9.841664179E0
8.272872100E-2,-3.331950188E0,4.986000061E0,7.804950237E0,9.842730153E0
8.522749100E-2,-3.307950258E0,4.984050274E0,7.774050236E0,9.809136002E0
8.772603100E-2,-3.343950272E0,5.013000011E0,7.732950211E0,9.803606045E0
9.022479800E-2,-3.351000071E0,5.002950191E0,7.678050518E0,9.757621219E0
9.272351700E-2,-3.334050179E0,5.005050182E0,7.635000229E0,9.719035262E0
