"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.299329000E-3,-2.841000080E0,4.444950104E0,8.560950279E0,1.005578105E1
8.796949000E-3,-2.773950100E0,4.492950439E0,8.437050819E0,9.953151729E0
1.129571900E-2,-2.733000040E0,4.551000118E0,8.343000412E0,9.888708064E0
1.379441100E-2,-2.688000202E0,4.570050240E0,8.359950066E0,9.899468136E0
1.629319700E-2,-2.676000118E0,4.584000111E0,8.398050308E0,9.934851918E0
1.879196600E-2,-2.652000189E0,4.594050407E0,8.430000305E0,9.960085807E0
2.129050700E-2,-2.605950117E0,4.564949989E0,8.346000671E0,9.863339780E0
2.378927400E-2,-2.584950209E0,4.527000427E0,8.290950775E0,9.793649228E0
2.628804300E-2,-2.580000162E0,4.476000309E0,8.169000626E0,9.665585902E0
2.878672800E-2,-2.563050032E0,4.393050194E0,8.089950562E0,9.555909981E0
3.128549500E-2,-2.560950041E0,4.291950226E0,8.029950142E0,9.458298004E0
3.378403500E-2,-2.520000219E0,4.206000328E0,7.975050449E0,9.361745005E0
3.628280300E-2,-2.506050110E0,4.129050255E0,7.993950367E0,9.339838630E0
3.878158700E-2,-2.499000072E0,4.065000057E0,8.049000740E0,9.357117064E0
4.128028100E-2,-2.491050005E0,4.005000114E0,8.134950638E0,9.403338658E0
4.377904800E-2,-2.518050194E0,3.970950127E0,8.251950264E0,9.497563100E0
4.627781800E-2,-2.524950027E0,3.922950268E0,8.410050392E0,9.617372772E0
4.877635800E-2,-2.475000143E0,3.909000158E0,8.575950623E0,9.744374635E0
5.127505200E-2,-2.392950058E0,3.909000158E0,8.752950668E0,9.880315664E0
5.377389800E-2,-2.271000147E0,3.916050196E0,8.913000107E0,9.996722548E0
5.627259300E-2,-2.106000185E0,3.957000256E0,9.054000854E0,1.010287183E1
5.877136000E-2,-1.948050141E0,3.978000164E0,9.217050552E0,1.022611390E1
6.126990000E-2,-1.783050060E0,3.978000164E0,9.397050858E0,1.035897281E1
6.376866800E-2,-1.656000137E0,3.978000164E0,9.547950745E0,1.047521767E1
6.626743700E-2,-1.594050050E0,3.949950218E0,9.648000717E0,1.054642215E1
6.876613100E-2,-1.474050045E0,3.906000137E0,9.745950699E0,1.060250987E1
7.126467000E-2,-1.371000051E0,3.910950184E0,9.793950081E0,1.063468997E1
7.376366800E-2,-1.299000025E0,3.889950275E0,9.841950417E0,1.066222783E1
7.626221800E-2,-1.219950080E0,3.856050253E0,9.873000145E0,1.066927990E1
7.876098500E-2,-1.174950004E0,3.859050274E0,9.865950584E0,1.065878780E1
8.125968000E-2,-1.195950031E0,3.862950087E0,9.823050499E0,1.062285277E1
8.375844700E-2,-1.189050078E0,3.856050253E0,9.808950424E0,1.060652969E1
8.625721600E-2,-1.155000091E0,3.895050287E0,9.732000351E0,1.054596002E1
8.875577100E-2,-1.153050065E0,3.942000151E0,9.643050194E0,1.048128364E1
9.125453800E-2,-1.138950109E0,4.014000416E0,9.495000839E0,1.037132815E1
9.375330700E-2,-1.114950061E0,4.078950405E0,9.327000618E0,1.024079541E1
9.625200200E-2,-1.143000007E0,4.135950089E0,9.136050224E0,1.009355962E1
9.875076900E-2,-1.207950115E0,4.157999992E0,8.968050003E0,9.958615781E0
1.012495380E-1,-1.312950015E0,4.177050114E0,8.755050659E0,9.788896641E0
1.037480780E-1,-1.467000127E0,4.194000244E0,8.568000793E0,9.651547286E0
1.062468460E-1,-1.669950128E0,4.155000210E0,8.422050476E0,9.538537330E0
1.087455400E-1,-1.813950062E0,4.147950172E0,8.274000168E0,9.431595000E0
1.112443070E-1,-1.917000055E0,4.165050030E0,8.134950638E0,9.338091499E0
1.137430760E-1,-1.977000117E0,4.179000378E0,8.008049965E0,9.246698755E0
1.162416170E-1,-2.005050182E0,4.215000153E0,7.920000553E0,9.193087690E0
1.187403840E-1,-2.047950029E0,4.273050308E0,7.833000183E0,9.154722832E0
1.212391530E-1,-2.086950064E0,4.309050083E0,7.744950294E0,9.105357118E0
1.237378480E-1,-2.146950006E0,4.357050419E0,7.728000164E0,9.127719826E0
1.262363950E-1,-2.213999987E0,4.438050270E0,7.692000389E0,9.152319713E0
1.287351620E-1,-2.206050158E0,4.516950130E0,7.636950493E0,9.142893886E0
1.312339320E-1,-2.154000044E0,4.573950291E0,7.611000538E0,9.137180453E0
1.337327010E-1,-2.071950197E0,4.620000362E0,7.618050575E0,9.147244150E0
1.362313950E-1,-2.131950140E0,4.656000137E0,7.567950249E0,9.137692249E0
1.387301720E-1,-2.250000000E0,4.672950268E0,7.594050407E0,9.196116887E0
1.412289420E-1,-2.233050108E0,4.696950436E0,7.588950157E0,9.200001123E0
1.437274820E-1,-2.130000114E0,4.701000214E0,7.606050491E0,9.191752149E0
1.462262490E-1,-2.014950037E0,4.665000439E0,7.666050434E0,9.197313847E0
1.487250190E-1,-1.914000034E0,4.606050014E0,7.711050510E0,9.183648123E0
1.512237180E-1,-1.828050137E0,4.519050121E0,7.750050545E0,9.155701215E0
1.537224850E-1,-1.717950106E0,4.427999973E0,7.741950512E0,9.082749257E0
1.562210260E-1,-1.584000111E0,4.330049992E0,7.705950260E0,8.979980996E0
1.587197930E-1,-1.450050116E0,4.230000019E0,7.690050602E0,8.895640717E0
1.612185620E-1,-1.297050118E0,4.090950012E0,7.720950603E0,8.833532093E0
1.637172600E-1,-1.135950089E0,3.964050293E0,7.714050293E0,8.747036598E0
1.662160280E-1,-9.499500394E-1,3.817950249E0,7.644000530E0,8.597086325E0
1.687147970E-1,-7.939500213E-1,3.721950293E0,7.632000446E0,8.528229677E0
1.712133370E-1,-6.169500351E-1,3.649950266E0,7.624950409E0,8.476003364E0
1.737121050E-1,-5.020500422E-1,3.552000284E0,7.668000221E0,8.465635691E0
1.762108690E-1,-4.870500267E-1,3.459000111E0,7.750050545E0,8.500893067E0
1.787095630E-1,-5.040000081E-1,3.397050142E0,7.804950237E0,8.527087069E0
1.812083300E-1,-5.160000324E-1,3.355950117E0,7.873950481E0,8.574832558E0
1.837068710E-1,-5.230500102E-1,3.361050129E0,7.954950333E0,8.651674640E0
1.862056340E-1,-5.470499992E-1,3.376950264E0,8.058000565E0,8.754109314E0
1.887044030E-1,-5.929500461E-1,3.397050142E0,8.166000366E0,8.864259778E0
1.912030980E-1,-6.720000505E-1,3.436950207E0,8.302950859E0,9.011282026E0
1.937018650E-1,-7.099500299E-1,3.451950073E0,8.439000130E0,9.145310905E0
