"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.218090000E-3,-2.997000217E0,2.452050209E0,8.071050644E0,8.951894717E0
8.717252000E-3,-3.016050100E0,2.442000151E0,7.972950459E0,8.867235305E0
1.121656000E-2,-3.048000097E0,2.449050188E0,7.872000217E0,8.789569889E0
1.371571800E-2,-3.061950207E0,2.467950106E0,7.786050320E0,8.722894954E0
1.621510100E-2,-3.045000076E0,2.478000164E0,7.747950554E0,8.685807278E0
1.871441100E-2,-3.049950123E0,2.476050138E0,7.780950546E0,8.716433413E0
2.121356500E-2,-3.013950109E0,2.466000080E0,7.822050571E0,8.737821628E0
2.371288400E-2,-2.988000154E0,2.449050188E0,7.876950264E0,8.773388012E0
2.621204000E-2,-2.937000036E0,2.446950197E0,7.948950291E0,8.820393710E0
2.871134600E-2,-3.045000076E0,2.440050125E0,8.182950020E0,9.065679296E0
3.121050200E-2,-3.028050184E0,2.385000229E0,8.479949951E0,9.314873332E0
3.370980700E-2,-3.004050255E0,2.377050161E0,8.723999977E0,9.528004041E0
3.620896300E-2,-2.937000036E0,2.361000061E0,8.920950890E0,9.684196161E0
3.870804000E-2,-2.857950211E0,2.338950157E0,9.093000412E0,9.814337662E0
4.120742300E-2,-2.803050041E0,2.310000181E0,9.225000381E0,9.914324102E0
4.370673100E-2,-2.748000145E0,2.272050142E0,9.333000183E0,9.990926337E0
4.620589100E-2,-2.668950081E0,2.245950222E0,9.442950249E0,1.006662289E1
4.870519700E-2,-2.605050087E0,2.206950188E0,9.514950752E0,1.010896646E1
5.120435300E-2,-2.593050241E0,2.179050207E0,9.601050377E0,1.018097921E1
5.370365900E-2,-2.502000093E0,2.161950111E0,9.607950211E0,1.016104030E1
5.620281500E-2,-2.407950163E0,2.172000170E0,9.610050201E0,1.014242937E1
5.870212000E-2,-2.394000053E0,2.152050018E0,9.519000053E0,1.004857789E1
6.120127600E-2,-2.377050161E0,2.180999994E0,9.579000473E0,1.010763961E1
6.370058200E-2,-2.377050161E0,2.148000002E0,9.457050323E0,9.984992353E0
6.619973800E-2,-2.415000200E0,2.061000109E0,9.471000671E0,9.988983989E0
6.869904300E-2,-2.473050117E0,2.040000200E0,9.436050415E0,9.965772681E0
7.119818900E-2,-2.286000013E0,2.083050013E0,9.385050774E0,9.881501477E0
7.369749500E-2,-2.128050089E0,2.131050110E0,9.361050606E0,9.833577182E0
7.619665100E-2,-2.020050049E0,2.176050186E0,9.367950439E0,9.827221990E0
7.869595600E-2,-1.953000069E0,2.193000078E0,9.364050865E0,9.813710166E0
8.119514100E-2,-1.975050092E0,2.180999994E0,9.412050247E0,9.861251122E0
8.369444700E-2,-1.903050065E0,2.140050173E0,9.478950500E0,9.902116788E0
8.619383200E-2,-1.882050037E0,2.089950085E0,9.594000816E0,9.997742513E0
8.869298700E-2,-1.945950150E0,2.065950155E0,9.664950371E0,1.007304014E1
9.119229300E-2,-1.977000117E0,2.032950163E0,9.687000275E0,1.009353209E1
9.369145800E-2,-2.016000032E0,2.041949987E0,9.646050453E0,1.006380173E1
9.619076400E-2,-2.047049999E0,2.284050226E0,9.459000587E0,9.943841876E0
9.868984300E-2,-2.008050203E0,2.535000086E0,9.250950813E0,9.799927653E0
1.011889940E-1,-2.049000025E0,2.659950018E0,9.154950142E0,9.751248500E0
1.036883020E-1,-2.238000154E0,2.626050234E0,9.256050110E0,9.878220900E0
1.061874340E-1,-2.482950211E0,2.503950119E0,9.481050491E0,1.011558829E1
1.086868170E-1,-2.710050106E0,2.410950184E0,9.712950706E0,1.036814659E1
1.111861260E-1,-2.848950148E0,2.305950165E0,9.742050171E0,1.040872061E1
1.136852800E-1,-2.818050146E0,2.320050001E0,9.673050880E0,1.033885641E1
1.161845860E-1,-2.748000145E0,2.332050085E0,9.591000557E0,1.024584082E1
1.186837710E-1,-2.679000139E0,2.341950178E0,9.535950661E0,1.017821828E1
1.211830760E-1,-2.641050100E0,2.349000216E0,9.522000313E0,1.015684191E1
1.236822320E-1,-2.599950075E0,2.310000181E0,9.562050819E0,1.017490330E1
1.261815380E-1,-2.595000029E0,2.263050079E0,9.691950798E0,1.028539407E1
1.286806750E-1,-2.563950062E0,2.241000175E0,9.816000938E0,1.038988913E1
1.311799810E-1,-2.547000170E0,2.229000092E0,9.957000732E0,1.051653531E1
1.336791360E-1,-2.595000029E0,2.217000008E0,1.011495018E1,1.067526727E1
1.361784420E-1,-2.635950089E0,2.242950201E0,1.030905056E1,1.087453824E1
1.386775980E-1,-2.707950115E0,2.233950138E0,1.049100018E1,1.106275787E1
1.411768890E-1,-2.763000250E0,2.233950138E0,1.061805058E1,1.119677193E1
1.436760440E-1,-2.779050112E0,2.265000105E0,1.066095066E1,1.124763148E1
1.461753500E-1,-2.779050112E0,2.275050163E0,1.077600098E1,1.135874860E1
1.486745060E-1,-2.764950037E0,2.272050142E0,1.086495018E1,1.143915657E1
1.511738220E-1,-2.752950191E0,2.320050001E0,1.090800095E1,1.148676854E1
1.536729780E-1,-2.724000216E0,2.353950024E0,1.085505009E1,1.143649292E1
1.561722830E-1,-2.674050093E0,2.341950178E0,1.084605026E1,1.141367955E1
1.586714390E-1,-2.581050158E0,2.377050161E0,1.071900082E1,1.127870409E1
1.611707450E-1,-2.470950127E0,2.398950100E0,1.051500034E1,1.106461876E1
1.636699010E-1,-2.313000202E0,2.485050201E0,1.031205082E1,1.085651125E1
1.661692060E-1,-1.989000082E0,2.574000120E0,9.778050423E0,1.030494386E1
1.686683620E-1,-1.663950086E0,2.695950031E0,9.148050308E0,9.681100191E0
1.711676680E-1,-1.455000043E0,2.787000179E0,8.703000069E0,9.253464504E0
1.736668140E-1,-1.336050034E0,2.782050133E0,8.470950127E0,9.015643553E0
1.761661960E-1,-1.269000053E0,2.770050049E0,8.226000786E0,8.772150668E0
1.786655060E-1,-1.222950101E0,2.737050056E0,7.933950424E0,8.481427904E0
1.811646600E-1,-1.198950052E0,2.683950186E0,7.657050133E0,8.201919688E0
1.836639710E-1,-1.182000041E0,2.655000210E0,7.330950260E0,7.885999108E0
1.861631270E-1,-1.185000062E0,2.599950075E0,7.065000534E0,7.620905332E0
1.886624320E-1,-1.278000116E0,2.509050131E0,6.843000412E0,7.399680500E0
1.911615880E-1,-7.849500179E-1,2.707950115E0,7.450950146E0,7.966542439E0
1.936606550E-1,2.149500102E-1,2.875050068E0,8.011050224E0,8.514049688E0
1.961599610E-1,2.269500047E-1,2.734050035E0,8.265000343E0,8.708430776E0
1.986591170E-1,1.500000060E-1,2.671950102E0,8.361000061E0,8.778846130E0
2.011584990E-1,6.195000187E-2,2.622000217E0,8.619000435E0,9.009211477E0
2.036578070E-1,-1.939500123E-1,2.578950167E0,8.644950867E0,9.023512401E0
2.061569490E-1,-4.000500143E-1,2.494950056E0,8.787000656E0,9.143095555E0
2.086562540E-1,-6.730500460E-1,2.430000067E0,8.959050179E0,9.307119683E0
2.111554100E-1,-1.055999994E0,2.454000235E0,1.087905025E1,1.120227600E1
2.136547160E-1,-1.702050090E0,2.404050112E0,1.312305069E1,1.344956843E1
2.161538620E-1,-1.917000055E0,2.503950119E0,1.390995026E1,1.426293699E1
2.186531680E-1,-1.780950069E0,2.547000170E0,1.312005043E1,1.348312710E1
2.211523230E-1,-1.657050133E0,2.719950199E0,1.288095093E1,1.326886736E1
2.236516290E-1,-1.684950113E0,2.551950216E0,1.292100048E1,1.327794262E1
2.261507850E-1,-1.885950089E0,2.338950157E0,1.309395027E1,1.343424837E1
2.286500960E-1,-1.894050121E0,1.990050077E0,1.346505070E1,1.374246395E1
2.311492510E-1,-1.756950140E0,1.894050121E0,1.335705090E1,1.360459879E1
2.336485570E-1,-1.609050035E0,1.590000033E0,1.282800102E1,1.302592616E1
2.361477130E-1,-1.441050053E0,1.587000132E0,1.230900097E1,1.249426667E1
2.386470190E-1,-1.374000072E0,1.372050047E0,1.187505054E1,1.203275625E1
2.411461890E-1,-1.138950109E0,1.030050039E0,1.145895100E1,1.156139128E1
2.436454940E-1,-1.075049996E0,1.282950044E0,1.109505081E1,1.122059917E1
2.461446500E-1,-7.300500274E-1,9.000000358E-1,1.065405083E1,1.071689191E1
2.486439560E-1,-7.870500088E-1,1.087050080E0,1.039305019E1,1.047934244E1
2.511433550E-1,-7.159500122E-1,9.889500737E-1,9.682050705E0,9.758724943E0
2.536424340E-1,-7.060500383E-1,9.840000272E-1,9.262950897E0,9.341789017E0
