"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.308392000E-3,-6.274950504E0,2.611950159E0,4.894050121E0,8.375500824E0
1.080777500E-2,-6.277050495E0,2.635950089E0,5.041950226E0,8.471768285E0
1.330715900E-2,-6.246000290E0,2.683950186E0,5.230950356E0,8.577817312E0
1.580646900E-2,-6.136050224E0,2.691000223E0,5.446950436E0,8.634921170E0
1.830585200E-2,-5.977950096E0,2.739000082E0,5.695950508E0,8.699532228E0
2.080522600E-2,-5.806050301E0,2.773050070E0,5.899050236E0,8.729193575E0
2.330438200E-2,-5.611950397E0,2.818050146E0,6.127050400E0,8.773604760E0
2.580376500E-2,-5.418000221E0,2.859000206E0,6.349050522E0,8.822644224E0
2.830314900E-2,-5.236050129E0,2.872950077E0,6.514950275E0,8.838248706E0
3.080253400E-2,-5.104050159E0,2.880000114E0,6.643950462E0,8.859334424E0
3.330183900E-2,-5.004000187E0,2.880000114E0,6.775950432E0,8.902130239E0
3.580122100E-2,-4.885950089E0,2.875050068E0,6.868950367E0,8.906228175E0
3.830060600E-2,-4.747050285E0,2.860950232E0,6.948000431E0,8.887869971E0
4.079976200E-2,-4.635000229E0,2.818050146E0,7.036950111E0,8.885004255E0
4.329915400E-2,-4.554000378E0,2.770050049E0,7.125000477E0,8.898186810E0
4.579853900E-2,-4.525050163E0,2.703000069E0,7.216050148E0,8.936087963E0
4.829784900E-2,-4.453050137E0,2.605050087E0,7.309050560E0,8.946404952E0
5.079723100E-2,-4.390950203E0,2.446950197E0,7.393050194E0,8.940089492E0
5.329661600E-2,-4.348050117E0,2.338950157E0,7.446000576E0,8.934156493E0
5.579600000E-2,-4.293000221E0,2.253000021E0,7.543950558E0,8.967555409E0
5.829515500E-2,-4.230000019E0,2.169000149E0,7.719000340E0,9.065342136E0
6.079453800E-2,-4.177950382E0,2.100000143E0,7.915050507E0,9.193111253E0
6.329392300E-2,-4.081950188E0,2.041949987E0,8.134950638E0,9.327877517E0
6.579323200E-2,-3.961950302E0,1.957950115E0,8.406000137E0,9.496918298E0
6.829262500E-2,-3.876000166E0,1.906050086E0,8.632950783E0,9.653198612E0
7.079178100E-2,-3.795000076E0,1.846050143E0,8.794050217E0,9.754242458E0
7.329116300E-2,-3.735000134E0,1.819950104E0,8.929950714E0,9.849185963E0
7.579054800E-2,-3.687000275E0,1.831950068E0,9.021000862E0,9.916071230E0
7.828985800E-2,-3.682050228E0,1.855950117E0,8.880000114E0,9.790630559E0
8.078924000E-2,-3.711000204E0,1.816950083E0,8.983050346E0,9.887771419E0
8.328862500E-2,-3.670050144E0,1.812000036E0,9.199050903E0,1.006852272E1
8.578778100E-2,-3.586050272E0,1.819950104E0,9.385050774E0,1.021034539E1
8.828716400E-2,-3.493050098E0,1.822050095E0,9.495000839E0,1.027989817E1
9.078655300E-2,-3.376050234E0,1.828950047E0,9.687000275E0,1.042020862E1
