"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.287802000E-3,4.666050434E0,4.470000267E0,6.361050129E0,9.067297711E0
8.785965000E-3,4.618050098E0,4.489050388E0,6.261000156E0,8.982097921E0
1.128534800E-2,4.510050297E0,4.494000435E0,6.234000206E0,8.910631412E0
1.378448700E-2,4.381050110E0,4.444050312E0,6.273000240E0,8.848373594E0
1.628379300E-2,4.198950291E0,4.366950035E0,6.381000519E0,8.798784221E0
1.878317800E-2,3.994950294E0,4.306950092E0,6.510000229E0,8.768668652E0
2.128233400E-2,3.799050093E0,4.228050232E0,6.663000107E0,8.758125416E0
2.378163900E-2,3.615000248E0,4.201950073E0,6.859050274E0,8.818797076E0
2.628077100E-2,3.430050135E0,4.153950214E0,7.068000317E0,8.886910306E0
2.878015400E-2,3.267000198E0,4.128000259E0,7.228050232E0,8.941945347E0
3.127946300E-2,3.124050140E0,4.108050346E0,7.377000332E0,9.003105066E0
3.377884600E-2,2.961000204E0,4.089000225E0,7.506000519E0,9.045854788E0
3.627800200E-2,2.841000080E0,4.060950279E0,7.614000320E0,9.084910539E0
3.877730400E-2,2.737950087E0,4.029000282E0,7.707000256E0,9.117404614E0
4.127645900E-2,2.659050226E0,4.019999981E0,7.738050461E0,9.116379374E0
4.377584200E-2,2.578050137E0,3.972000122E0,7.720950603E0,9.057384043E0
4.627515200E-2,2.484000206E0,3.961950302E0,7.675950527E0,8.988188011E0
4.877430600E-2,2.362050056E0,3.898050070E0,7.744950294E0,8.986563853E0
5.127367300E-2,2.281050205E0,3.850050211E0,7.897950172E0,9.077648021E0
5.377298300E-2,2.223000050E0,3.804000139E0,8.112000465E0,9.231289067E0
5.627213700E-2,2.173050165E0,3.735000134E0,8.341050148E0,9.393907099E0
5.877151900E-2,2.152050018E0,3.682050228E0,8.526000023E0,9.533178355E0
6.127083400E-2,2.142000198E0,3.615000248E0,8.723999977E0,9.683210586E0
6.376998800E-2,2.128050089E0,3.558000088E0,8.839050293E0,9.763030876E0
6.626937100E-2,2.098950148E0,3.498000145E0,8.980950356E0,9.864028894E0
6.876868000E-2,2.077050209E0,3.436050177E0,9.073950768E0,9.922558184E0
7.126783400E-2,2.041949987E0,3.390000105E0,9.157950401E0,9.976458090E0
7.376723500E-2,1.986000061E0,3.322950125E0,9.217950821E0,9.997840322E0
7.626654500E-2,1.945950150E0,3.261000156E0,9.256050110E0,1.000476425E1
7.876569800E-2,1.897950053E0,3.213000059E0,9.306000710E0,1.002632699E1
8.126508100E-2,1.891050100E0,3.175050259E0,9.346950531E0,1.005099492E1
8.376440100E-2,1.879050136E0,3.112050056E0,9.357000351E0,1.003838336E1
8.626355500E-2,1.924050093E0,3.093000174E0,9.330000877E0,1.001586418E1
8.876293700E-2,1.990950108E0,3.060000181E0,9.316050529E0,1.000581236E1
9.126201600E-2,2.121000051E0,3.040950060E0,9.316050529E0,1.002670514E1
9.376139400E-2,2.263950109E0,3.048000097E0,9.286950111E0,1.003310605E1
9.626070100E-2,2.419950008E0,3.096000195E0,9.318000793E0,1.011269074E1
9.876008600E-2,2.568000078E0,3.151050091E0,9.321000099E0,1.016881428E1
1.012592420E-1,2.725950241E0,3.220050097E0,9.376049995E0,1.028152911E1
1.037585480E-1,2.848050117E0,3.259050131E0,9.403950691E0,1.035215368E1
1.062577030E-1,2.974950075E0,3.301950216E0,9.409049988E0,1.040593220E1
1.087570860E-1,3.088050127E0,3.361050129E0,9.397050858E0,1.044687879E1
1.112563960E-1,3.169050217E0,3.406950235E0,9.403950691E0,1.049211503E1
1.137555500E-1,3.253050089E0,3.438000202E0,9.358950615E0,1.048771362E1
1.162549180E-1,3.303000212E0,3.460050106E0,9.268050194E0,1.042969374E1
