"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.093185000E-3,-2.143949986E0,3.460950136E0,6.222000122E0,7.435588941E0
1.059073300E-2,-1.954950094E0,3.444000244E0,6.358950138E0,7.491275887E0
1.308927100E-2,-1.810950041E0,3.400950193E0,6.529050350E0,7.581193886E0
1.558773300E-2,-1.636950135E0,3.262050152E0,6.655050278E0,7.590143025E0
1.808619500E-2,-1.549950123E0,3.175950050E0,6.864000320E0,7.720330596E0
2.058465600E-2,-1.531050086E0,3.169050217E0,7.149000168E0,7.968387355E0
2.308309900E-2,-1.534050107E0,3.193050146E0,7.431000233E0,8.232171246E0
2.558178900E-2,-1.507050037E0,3.163950205E0,7.683000565E0,8.444541337E0
2.808025200E-2,-1.423950076E0,3.118950129E0,7.857000351E0,8.572510615E0
3.057871400E-2,-1.270050049E0,3.064050198E0,7.993950367E0,8.654748593E0
3.307717600E-2,-1.167000055E0,2.908050060E0,8.116050720E0,8.699938136E0
3.557571200E-2,-1.048050046E0,2.820000172E0,8.250000000E0,8.781418443E0
3.807417600E-2,-9.090000391E-1,2.748000145E0,8.367000580E0,8.853501261E0
4.057263700E-2,-8.899500370E-1,2.571000099E0,8.401050568E0,8.830611713E0
4.307109900E-2,-8.730000257E-1,2.488950014E0,8.422050476E0,8.825414179E0
4.556957900E-2,-8.749500513E-1,2.392950058E0,8.500950813E0,8.874565471E0
4.806827000E-2,-9.420000315E-1,2.286000013E0,8.485050201E0,8.837943032E0
5.056673300E-2,-9.570000172E-1,2.230950117E0,8.506050110E0,8.845669897E0
5.306519500E-2,-7.050000429E-1,2.403000116E0,8.497050285E0,8.858402687E0
5.556373100E-2,-7.600500584E-1,2.401050091E0,8.503950119E0,8.869040831E0
5.806219500E-2,-9.349500537E-1,2.317050219E0,8.491950035E0,8.851896335E0
6.056065600E-2,-9.349500537E-1,2.319000006E0,8.449049950E0,8.811261980E0
6.305934600E-2,-9.450000525E-1,2.371950150E0,8.367000580E0,8.747906682E0
6.555757900E-2,-9.300000668E-1,2.403000116E0,8.311950684E0,8.702174088E0
6.805627000E-2,-9.139500260E-1,2.476950169E0,8.275950432E0,8.686883350E0
7.055472800E-2,-8.800500631E-1,2.508000135E0,8.239950180E0,8.658021238E0
7.305319000E-2,-8.200500607E-1,2.587050200E0,8.266950607E0,8.701021962E0
7.555172600E-2,-7.560000420E-1,2.653950214E0,8.266950607E0,8.715357718E0
7.805019000E-2,-6.979500055E-1,2.773950100E0,8.209050179E0,8.693125917E0
8.054865100E-2,-6.409500241E-1,2.848050117E0,8.202000618E0,8.706033571E0
8.304711800E-2,-6.000000238E-1,2.929950237E0,8.097000122E0,8.631686938E0
8.554557900E-2,-5.659500360E-1,2.962950230E0,8.013000488E0,8.561982850E0
8.804427000E-2,-4.369500279E-1,3.010950089E0,7.924050331E0,8.488069239E0
9.054273300E-2,-2.980500162E-1,3.115950108E0,7.797000408E0,8.401856595E0
9.304119500E-2,-1.590000093E-1,3.217050076E0,7.714050293E0,8.359501427E0
9.553966100E-2,-1.800000109E-2,3.331950188E0,7.603950500E0,8.301944306E0
9.803819800E-2,1.339500099E-1,3.456000090E0,7.558050156E0,8.311798926E0
1.005366610E-1,2.710500062E-1,3.567000151E0,7.477050304E0,8.288741728E0
1.030351230E-1,3.970500231E-1,3.717000246E0,7.438050270E0,8.324561933E0
1.055335840E-1,5.119500160E-1,3.862950087E0,7.456950188E0,8.413713942E0
1.080322700E-1,6.060000062E-1,3.990000248E0,7.495950222E0,8.513319430E0
1.105307330E-1,5.959500074E-1,4.122000217E0,7.510050297E0,8.587601392E0
1.130291950E-1,5.910000205E-1,4.219950199E0,7.576950550E0,8.692953488E0
1.155276560E-1,5.340000391E-1,4.314000130E0,7.611000538E0,8.764877771E0
1.180261880E-1,4.690500200E-1,4.416000366E0,7.623000145E0,8.822199180E0
1.205245740E-1,3.930000067E-1,4.480950356E0,7.606050491E0,8.836592622E0
1.230231110E-1,2.490000129E-1,4.576950073E0,7.572000504E0,8.851308638E0
1.255215740E-1,4.995000362E-2,4.632000446E0,7.567950249E0,8.873093829E0
1.280200360E-1,-1.789500117E-1,4.656000137E0,7.564950466E0,8.884753004E0
1.305187350E-1,-3.730500042E-1,4.761000156E0,7.540950298E0,8.925929654E0
1.330171990E-1,-5.310000181E-1,4.879050255E0,7.540950298E0,8.997389833E0
1.355156600E-1,-6.790500283E-1,4.972050190E0,7.546050549E0,9.062299428E0
1.380141970E-1,-8.080500364E-1,5.032050133E0,7.548000336E0,9.107512419E0
1.405126600E-1,-8.779500127E-1,5.116050243E0,7.564950466E0,9.174597641E0
1.430111270E-1,-9.259500504E-1,5.194950104E0,7.588950157E0,9.243216678E0
1.455095880E-1,-9.229500294E-1,5.286000252E0,7.659000397E0,9.351680196E0
1.480080500E-1,-9.379500151E-1,5.326050282E0,7.692000389E0,9.402841688E0
1.505067400E-1,-9.900000691E-1,5.368950367E0,7.797000408E0,9.518347732E0
1.530052040E-1,-1.033050060E0,5.368950367E0,7.920000553E0,9.623888467E0
1.555036650E-1,-1.050000072E0,5.398050308E0,8.061000824E0,9.758134123E0
1.580021270E-1,-1.030950069E0,5.403000355E0,8.202000618E0,9.875630867E0
1.605006630E-1,-9.810000658E-1,5.403000355E0,8.221050262E0,9.886376555E0
1.629991270E-1,-8.869500160E-1,5.416950226E0,8.226000786E0,9.889242590E0
1.654976070E-1,-7.440000176E-1,5.436000347E0,8.212050438E0,9.876305392E0
1.679960690E-1,-6.499500275E-1,5.439000130E0,8.311950684E0,9.954580936E0
1.704945310E-1,-5.110500455E-1,5.407950401E0,8.713950157E0,1.026839944E1
1.729932210E-1,-3.439500034E-1,5.338050365E0,8.938950539E0,1.041719348E1
1.754916930E-1,-1.999500096E-1,5.274000168E0,8.997000694E0,1.043077558E1
1.779901550E-1,-4.500000179E-2,5.197050095E0,8.917950630E0,1.032187958E1
1.804886910E-1,8.100000024E-2,5.137050152E0,8.893950462E0,1.027123167E1
1.829871550E-1,1.870500147E-1,5.017050266E0,8.743050575E0,1.008199953E1
1.854856170E-1,-3.299999982E-2,4.749000072E0,9.496950150E0,1.061819913E1
1.879840870E-1,-2.190000117E-1,4.539000034E0,1.010805035E1,1.108256126E1
1.904825490E-1,-7.995000482E-2,4.548000336E0,1.012200069E1,1.109709859E1
1.929812390E-1,3.019500077E-1,4.620000362E0,9.727050781E0,1.077270134E1
1.954797020E-1,5.770500302E-1,4.651050091E0,9.588000298E0,1.067216020E1
1.979781640E-1,4.860000312E-1,4.503000259E0,9.825000763E0,1.081868048E1
2.004766130E-1,2.490000129E-1,4.327950001E0,1.018905067E1,1.107293574E1
2.029750740E-1,0.000000000E0,4.114950180E0,1.026105022E1,1.105540441E1
2.054736110E-1,-1.330500096E-1,3.988050222E0,1.018200016E1,1.093596700E1
2.079720740E-1,-2.860500216E-1,3.856050253E0,1.015800095E1,1.086903544E1
2.104705360E-1,-3.250500262E-1,3.792000294E0,1.013400078E1,1.082510487E1
2.129692540E-1,-2.620500028E-1,3.757950068E0,1.016505051E1,1.084062317E1
2.154677180E-1,-2.260500044E-1,3.732000113E0,1.024695015E1,1.090774545E1
2.179661790E-1,-1.879500151E-1,3.739050150E0,1.040700054E1,1.105990423E1
2.204646410E-1,-6.105000153E-2,3.813000202E0,1.062705040E1,1.129056676E1
2.229631770E-1,1.150500029E-1,3.906000137E0,1.078995037E1,1.147576153E1
2.254616600E-1,3.540000021E-1,4.048050404E0,1.096995068E1,1.169836937E1
2.279601210E-1,6.319500208E-1,4.186950207E0,1.102500057E1,1.181018842E1
2.304585830E-1,1.009950042E0,4.408950329E0,1.125000095E1,1.212523664E1
2.329570440E-1,1.360050082E0,4.564949989E0,1.156395054E1,1.250653656E1
2.354557350E-1,1.723950028E0,4.800000191E0,1.161405087E1,1.268456476E1
2.379541880E-1,2.100000143E0,4.974000454E0,1.173105049E1,1.291387729E1
2.404526500E-1,2.434950113E0,5.056050301E0,1.172595024E1,1.299963599E1
2.429511860E-1,2.799000025E0,5.191950321E0,1.175295067E1,1.315000375E1
2.454495730E-1,3.151050091E0,5.286000252E0,1.165200043E1,1.317725424E1
2.479481000E-1,3.318000078E0,5.281050205E0,1.153500080E1,1.311315596E1
2.504465640E-1,3.364050150E0,5.190000057E0,1.142505074E1,1.299171730E1
2.529450250E-1,3.262950182E0,5.061000347E0,1.127895069E1,1.278574586E1
2.554437160E-1,3.024000168E0,4.906949997E0,1.122405052E1,1.261752929E1
2.579421790E-1,2.824950218E0,4.807050228E0,1.134105015E1,1.263754304E1
2.604406310E-1,2.698050022E0,4.821000099E0,1.162305069E1,1.286921999E1
2.629390920E-1,2.629050016E0,4.936050415E0,1.194405079E1,1.318851193E1
2.654376290E-1,2.377050161E0,5.221050262E0,1.219995022E1,1.348141382E1
2.679360920E-1,1.851000071E0,5.503050327E0,1.225995064E1,1.356525539E1
2.704345540E-1,1.207050085E0,5.805000305E0,1.222695065E1,1.358872034E1
2.729330100E-1,5.770500302E-1,6.109050274E0,1.218105030E1,1.363933534E1
2.754317010E-1,6.195000187E-2,6.399000168E0,1.222200012E1,1.379595332E1
2.779301640E-1,-3.079500198E-1,6.655050278E0,1.219305038E1,1.389442353E1
2.804286260E-1,-4.279500246E-1,7.108050346E0,1.194705009E1,1.390825391E1
2.829270820E-1,-4.039500058E-1,7.366050243E0,1.174800014E1,1.387218005E1
2.854255440E-1,-3.169500232E-1,7.510050297E0,1.164000034E1,1.385607884E1
2.879240800E-1,-7.605000585E-2,7.561950207E0,1.145805073E1,1.372864891E1
2.904225440E-1,2.010000050E-1,7.588950157E0,1.120695019E1,1.353618477E1
2.929210050E-1,4.639500082E-1,7.591050148E0,1.090800095E1,1.329751017E1
2.954194670E-1,7.660500407E-1,7.633950233E0,1.064205074E1,1.311934727E1
2.979181570E-1,1.060950041E0,7.656000137E0,1.039305019E1,1.295204406E1
3.004166210E-1,1.269000053E0,7.708050251E0,1.016505051E1,1.282000981E1
3.029150820E-1,1.410000086E0,7.741950512E0,9.924000740E0,1.266537361E1
3.054136060E-1,1.459950089E0,7.797000408E0,9.664950371E0,1.250343694E1
3.079119920E-1,1.420050025E0,7.845000267E0,9.406050682E0,1.233022144E1
3.104105290E-1,1.336050034E0,7.894950390E0,9.136050224E0,1.214836141E1
3.129089920E-1,1.175999999E0,7.924050331E0,8.872050285E0,1.195352776E1
3.154074540E-1,1.278000116E0,7.996050358E0,8.611050606E0,1.182033410E1
3.179061570E-1,1.144050002E0,8.035950661E0,8.386050224E0,1.167095505E1
3.204046210E-1,9.960000515E-1,8.038949966E0,8.215950012E0,1.153770199E1
3.229030820E-1,8.280000687E-1,8.017050743E0,8.157000542E0,1.146714195E1
3.254016190E-1,7.110000253E-1,7.941000462E0,8.164050102E0,1.141125424E1
3.279000050E-1,5.580000281E-1,7.867050171E0,8.190000534E0,1.137004623E1
3.303985420E-1,3.330000043E-1,7.771050453E0,8.272050858E0,1.135459993E1
3.328970050E-1,1.290000081E-1,7.704000473E0,8.367000580E0,1.137431154E1
3.353954670E-1,-1.429500133E-1,7.585950375E0,8.530050278E0,1.141616554E1
3.378941570E-1,-4.590000212E-1,7.483050346E0,8.656949997E0,1.145205251E1
3.403926170E-1,-7.129500508E-1,7.515000343E0,8.674050331E0,1.149881199E1
3.428910780E-1,-9.259500504E-1,7.603050232E0,8.713950157E0,1.160158108E1
3.453895400E-1,-1.138950109E0,7.576950550E0,8.884050369E0,1.173174062E1
3.478880760E-1,-1.359000087E0,7.414050579E0,9.232050896E0,1.191829648E1
3.503865400E-1,-1.561950088E0,7.126950264E0,9.505050659E0,1.198244951E1
3.528849920E-1,-1.816050053E0,6.717000484E0,9.780000687E0,1.200268915E1
3.553834530E-1,-1.996050119E0,6.267000198E0,1.001895046E1,1.198494372E1
3.578819150E-1,-2.206050158E0,5.878950119E0,1.008900070E1,1.188346107E1
3.603803760E-1,-2.383949995E0,5.532000065E0,1.017000008E1,1.182011607E1
3.628790660E-1,-2.539050102E0,5.173050404E0,1.023495007E1,1.174569831E1
3.653775250E-1,-2.724000216E0,4.855050087E0,1.019595051E1,1.161675924E1
3.678759870E-1,-2.877000093E0,4.504950047E0,1.012005043E1,1.144496069E1
3.703744480E-1,-2.970000029E0,4.157999992E0,1.003605080E1,1.126197939E1
